Name;Type;DLL;SymbolOrOrdinal
IID_IGetFrame;data;AVIFIL32.dll;_IID_IGetFrame
IID_IAVIStream;data;AVIFIL32.dll;_IID_IAVIStream
IID_IAVIFile;data;AVIFIL32.dll;_IID_IAVIFile
IID_IAVIEditStream;data;AVIFIL32.dll;_IID_IAVIEditStream
EditStreamSetNameW;code;AVIFIL32.dll;_EditStreamSetNameW@8
EditStreamSetNameA;code;AVIFIL32.dll;_EditStreamSetNameA@8
EditStreamSetName;code;AVIFIL32.dll;_EditStreamSetName@8
EditStreamSetInfoW;code;AVIFIL32.dll;_EditStreamSetInfoW@12
EditStreamSetInfoA;code;AVIFIL32.dll;_EditStreamSetInfoA@12
EditStreamSetInfo;code;AVIFIL32.dll;_EditStreamSetInfo@12
EditStreamPaste;code;AVIFIL32.dll;_EditStreamPaste@24
EditStreamCut;code;AVIFIL32.dll;_EditStreamCut@16
EditStreamCopy;code;AVIFIL32.dll;_EditStreamCopy@16
EditStreamClone;code;AVIFIL32.dll;_EditStreamClone@8
CreateEditableStream;code;AVIFIL32.dll;_CreateEditableStream@8
AVIStreamWriteData;code;AVIFIL32.dll;_AVIStreamWriteData@16
AVIStreamWrite;code;AVIFIL32.dll;_AVIStreamWrite@32
AVIStreamTimeToSample;code;AVIFIL32.dll;_AVIStreamTimeToSample@8
AVIStreamStart;code;AVIFIL32.dll;_AVIStreamStart@4
AVIStreamSetFormat;code;AVIFIL32.dll;_AVIStreamSetFormat@16
AVIStreamSampleToTime;code;AVIFIL32.dll;_AVIStreamSampleToTime@8
AVIStreamRelease;code;AVIFIL32.dll;_AVIStreamRelease@4
AVIStreamReadFormat;code;AVIFIL32.dll;_AVIStreamReadFormat@16
AVIStreamReadData;code;AVIFIL32.dll;_AVIStreamReadData@16
AVIStreamRead;code;AVIFIL32.dll;_AVIStreamRead@28
AVIStreamOpenFromFileW;code;AVIFIL32.dll;_AVIStreamOpenFromFileW@24
AVIStreamOpenFromFileA;code;AVIFIL32.dll;_AVIStreamOpenFromFileA@24
AVIStreamOpenFromFile;code;AVIFIL32.dll;_AVIStreamOpenFromFile@24
AVIStreamLength;code;AVIFIL32.dll;_AVIStreamLength@4
AVIStreamInfoW;code;AVIFIL32.dll;_AVIStreamInfoW@12
AVIStreamInfoA;code;AVIFIL32.dll;_AVIStreamInfoA@12
AVIStreamInfo;code;AVIFIL32.dll;_AVIStreamInfo@12
AVIStreamGetFrameOpen;code;AVIFIL32.dll;_AVIStreamGetFrameOpen@8
AVIStreamGetFrameClose;code;AVIFIL32.dll;_AVIStreamGetFrameClose@4
AVIStreamGetFrame;code;AVIFIL32.dll;_AVIStreamGetFrame@8
AVIStreamFindSample;code;AVIFIL32.dll;_AVIStreamFindSample@12
AVIStreamEndStreaming;code;AVIFIL32.dll;_AVIStreamEndStreaming@4
AVIStreamCreate;code;AVIFIL32.dll;_AVIStreamCreate@16
AVIStreamBeginStreaming;code;AVIFIL32.dll;_AVIStreamBeginStreaming@16
AVIStreamAddRef;code;AVIFIL32.dll;_AVIStreamAddRef@4
AVISaveW;code;AVIFIL32.dll;_AVISaveW
AVISaveVW;code;AVIFIL32.dll;_AVISaveVW@24
AVISaveVA;code;AVIFIL32.dll;_AVISaveVA@24
AVISaveV;code;AVIFIL32.dll;_AVISaveV@24
AVISaveOptionsFree;code;AVIFIL32.dll;_AVISaveOptionsFree@8
AVISaveOptions;code;AVIFIL32.dll;_AVISaveOptions@20
AVISaveA;code;AVIFIL32.dll;_AVISaveA
AVISave;code;AVIFIL32.dll;_AVISave
AVIPutFileOnClipboard;code;AVIFIL32.dll;_AVIPutFileOnClipboard@4
AVIMakeStreamFromClipboard;code;AVIFIL32.dll;_AVIMakeStreamFromClipboard@12
AVIMakeFileFromStreams;code;AVIFIL32.dll;_AVIMakeFileFromStreams@12
AVIMakeCompressedStream;code;AVIFIL32.dll;_AVIMakeCompressedStream@16
AVIGetFromClipboard;code;AVIFIL32.dll;_AVIGetFromClipboard@4
AVIFileWriteData;code;AVIFIL32.dll;_AVIFileWriteData@16
AVIFileRelease;code;AVIFIL32.dll;_AVIFileRelease@4
AVIFileReadData;code;AVIFIL32.dll;_AVIFileReadData@16
AVIFileOpenW;code;AVIFIL32.dll;_AVIFileOpenW@16
AVIFileOpenA;code;AVIFIL32.dll;_AVIFileOpenA@16
AVIFileOpen;code;AVIFIL32.dll;_AVIFileOpen@16
AVIFileInit;code;AVIFIL32.dll;_AVIFileInit@0
AVIFileInfoW;code;AVIFIL32.dll;_AVIFileInfoW@12
AVIFileInfoA;code;AVIFIL32.dll;_AVIFileInfoA@12
AVIFileInfo;code;AVIFIL32.dll;_AVIFileInfo@12
AVIFileGetStream;code;AVIFIL32.dll;_AVIFileGetStream@16
AVIFileExit;code;AVIFIL32.dll;_AVIFileExit@0
AVIFileEndRecord;code;AVIFIL32.dll;_AVIFileEndRecord@4
AVIFileCreateStreamW;code;AVIFIL32.dll;_AVIFileCreateStreamW@12
AVIFileCreateStreamA;code;AVIFIL32.dll;_AVIFileCreateStreamA@12
AVIFileCreateStream;code;AVIFIL32.dll;_AVIFileCreateStream@12
AVIFileAddRef;code;AVIFIL32.dll;_AVIFileAddRef@4
AVIClearClipboard;code;AVIFIL32.dll;_AVIClearClipboard@0
AVIBuildFilterW;code;AVIFIL32.dll;_AVIBuildFilterW@12
AVIBuildFilterA;code;AVIFIL32.dll;_AVIBuildFilterA@12
AVIBuildFilter;code;AVIFIL32.dll;_AVIBuildFilter@12
videoThunk32;code;AVICAP32.dll;_videoThunk32@20
capGetDriverDescriptionW;code;AVICAP32.dll;_capGetDriverDescriptionW@20
capGetDriverDescriptionA;code;AVICAP32.dll;_capGetDriverDescriptionA@20
capCreateCaptureWindowW;code;AVICAP32.dll;_capCreateCaptureWindowW@32
capCreateCaptureWindowA;code;AVICAP32.dll;_capCreateCaptureWindowA@32
AppCleanup;code;AVICAP32.dll;_AppCleanup@4
