Name;Type;DLL;SymbolOrOrdinal
DispatchAPICall;code;WININET.dll;?DispatchAPICall@@YGXPAUHWND__@@PAUHINSTANCE__@@PADH@Z (void __stdcall DispatchAPICall(struct HWND__ *,struct HINSTANCE__ *,char *,int))
AppCacheCheckManifest;code;WININET.dll;_AppCacheCheckManifest@32
AppCacheCloseHandle;code;WININET.dll;_AppCacheCloseHandle@4
AppCacheDeleteGroup;code;WININET.dll;_AppCacheDeleteGroup@4
AppCacheDeleteIEGroup;code;WININET.dll;_AppCacheDeleteIEGroup@4
AppCacheDuplicateHandle;code;WININET.dll;_AppCacheDuplicateHandle@8
AppCacheFinalize;code;WININET.dll;_AppCacheFinalize@16
AppCacheFreeDownloadList;code;WININET.dll;_AppCacheFreeDownloadList@4
AppCacheFreeGroupList;code;WININET.dll;_AppCacheFreeGroupList@4
AppCacheFreeIESpace;code;WININET.dll;_AppCacheFreeIESpace@8
AppCacheFreeSpace;code;WININET.dll;_AppCacheFreeSpace@8
AppCacheGetDownloadList;code;WININET.dll;_AppCacheGetDownloadList@8
AppCacheGetFallbackUrl;code;WININET.dll;_AppCacheGetFallbackUrl@12
AppCacheGetGroupList;code;WININET.dll;_AppCacheGetGroupList@4
AppCacheGetIEGroupList;code;WININET.dll;_AppCacheGetIEGroupList@4
AppCacheGetInfo;code;WININET.dll;_AppCacheGetInfo@8
AppCacheGetManifestUrl;code;WININET.dll;_AppCacheGetManifestUrl@8
AppCacheLookup;code;WININET.dll;_AppCacheLookup@12
CommitUrlCacheEntryA;code;WININET.dll;_CommitUrlCacheEntryA@44
CommitUrlCacheEntryBinaryBlob;code;WININET.dll;_CommitUrlCacheEntryBinaryBlob@32
CommitUrlCacheEntryW;code;WININET.dll;_CommitUrlCacheEntryW@44
_CreateCacheServerRpcBinding@8;code;WININET.dll;411
CreateMD5SSOHash;code;WININET.dll;_CreateMD5SSOHash@16
CreateUrlCacheContainerA;code;WININET.dll;_CreateUrlCacheContainerA@32
CreateUrlCacheContainerW;code;WININET.dll;_CreateUrlCacheContainerW@32
CreateUrlCacheEntryA;code;WININET.dll;_CreateUrlCacheEntryA@20
CreateUrlCacheEntryExW;code;WININET.dll;_CreateUrlCacheEntryExW@24
CreateUrlCacheEntryW;code;WININET.dll;_CreateUrlCacheEntryW@20
CreateUrlCacheGroup;code;WININET.dll;_CreateUrlCacheGroup@8
DeleteIE3Cache;code;WININET.dll;_DeleteIE3Cache@16
DeleteUrlCacheContainerA;code;WININET.dll;_DeleteUrlCacheContainerA@8
DeleteUrlCacheContainerW;code;WININET.dll;_DeleteUrlCacheContainerW@8
DeleteUrlCacheEntry;code;WININET.dll;_DeleteUrlCacheEntry@4
DeleteUrlCacheEntryA;code;WININET.dll;_DeleteUrlCacheEntryA@4
DeleteUrlCacheEntryW;code;WININET.dll;_DeleteUrlCacheEntryW@4
DeleteUrlCacheGroup;code;WININET.dll;_DeleteUrlCacheGroup@16
DeleteWpadCacheForNetworks;code;WININET.dll;_DeleteWpadCacheForNetworks@4
DetectAutoProxyUrl;code;WININET.dll;_DetectAutoProxyUrl@12
_DoConnectoidsExist@0;code;WININET.dll;101
_ExportCookieFileA@8;code;WININET.dll;109
_ExportCookieFileW@8;code;WININET.dll;111
