Name;Type;DLL;SymbolOrOrdinal
ADVANCEDSETUPDIALOG;code;WINSPOOL.DRV;?ADVANCEDSETUPDIALOG@@YGJPAUHWND__@@PAXPAU_devicemodeA@@2@Z (long __stdcall ADVANCEDSETUPDIALOG(struct HWND__ *,void *,struct _devicemodeA *,struct _devicemodeA *))
AdvancedSetupDialog;code;WINSPOOL.DRV;?AdvancedSetupDialog@@YGJPAUHWND__@@PAXPAU_devicemodeA@@2@Z (long __stdcall AdvancedSetupDialog(struct HWND__ *,void *,struct _devicemodeA *,struct _devicemodeA *))
?CallCommonPropertySheetUI@@YGJPAUHWND__@@P6GJPAU_PROPSHEETUI_INFO@@J@ZJPAK@Z (long __stdcall CallCommonPropertySheetUI(struct HWND__ *,long (__stdcall*)(struct _PROPSHEETUI_INFO *,long),long,unsigned long *));code;WINSPOOL.DRV;218
ConvertAnsiDevModeToUnicodeDevmode;code;WINSPOOL.DRV;?ConvertAnsiDevModeToUnicodeDevmode@@YGHPAU_devicemodeA@@PAU_devicemodeW@@KPAK@Z (int __stdcall ConvertAnsiDevModeToUnicodeDevmode(struct _devicemodeA *,struct _devicemodeW *,unsigned long,unsigned long *))
ConvertUnicodeDevModeToAnsiDevmode;code;WINSPOOL.DRV;?ConvertUnicodeDevModeToAnsiDevmode@@YGHPAU_devicemodeW@@PAU_devicemodeA@@KPAK@Z (int __stdcall ConvertUnicodeDevModeToAnsiDevmode(struct _devicemodeW *,struct _devicemodeA *,unsigned long,unsigned long *))
DEVICEMODE;code;WINSPOOL.DRV;?DEVICEMODE@@YGXPAUHWND__@@PAXPAD2@Z (void __stdcall DEVICEMODE(struct HWND__ *,void *,char *,char *))
DeviceMode;code;WINSPOOL.DRV;?DeviceMode@@YGXPAUHWND__@@PAXPAD2@Z (void __stdcall DeviceMode(struct HWND__ *,void *,char *,char *))
DocumentEvent;code;WINSPOOL.DRV;?DocumentEvent@@YGHPAXPAUHDC__@@HK0K0@Z (int __stdcall DocumentEvent(void *,struct HDC__ *,int,unsigned long,void *,unsigned long,void *))
?FindCompatibleDriver@@YGJPBG0PAGKPAK1K22@Z (long __stdcall FindCompatibleDriver(unsigned short const *,unsigned short const *,unsigned short *,unsigned long,unsigned long *,unsigned short *,unsigned long,unsigned long *,unsigned long *));code;WINSPOOL.DRV;252
?FlushBuffer2@@YGHPAX@Z (int __stdcall FlushBuffer2(void *));code;WINSPOOL.DRV;255
?GetWorkFlowSourceLibraryHandle@@YGPAUHINSTANCE__@@PAX@Z (struct HINSTANCE__ * __stdcall GetWorkFlowSourceLibraryHandle(void *));code;WINSPOOL.DRV;362
?InternalGetPrinterDriverA@@YGHPAXPADKPAEKPAK@Z (int __stdcall InternalGetPrinterDriverA(void *,char *,unsigned long,unsigned char *,unsigned long,unsigned long *));code;WINSPOOL.DRV;233
?InternalGetPrinterDriverW@@YGHPAXPAGKPAEKPAK@Z (int __stdcall InternalGetPrinterDriverW(void *,unsigned short *,unsigned long,unsigned char *,unsigned long,unsigned long *));code;WINSPOOL.DRV;234
?PrintUIDocumentDefaults@@YGXPAUHWND__@@PBGHJ@Z (void __stdcall PrintUIDocumentDefaults(struct HWND__ *,unsigned short const *,int,long));code;WINSPOOL.DRV;221
?PrintUIDocumentPropertiesWrap@@YGJPAUHWND__@@PAXPAGPAU_devicemodeW@@3KK@Z (long __stdcall PrintUIDocumentPropertiesWrap(struct HWND__ *,void *,unsigned short *,struct _devicemodeW *,struct _devicemodeW *,unsigned long,unsigned long));code;WINSPOOL.DRV;229
?PrintUIPrinterPropPages@@YGXPAUHWND__@@PBGHJ@Z (void __stdcall PrintUIPrinterPropPages(struct HWND__ *,unsigned short const *,int,long));code;WINSPOOL.DRV;220
?PrintUIPrinterSetup@@YGHPAUHWND__@@IIPAGPAIPBG@Z (int __stdcall PrintUIPrinterSetup(struct HWND__ *,unsigned int,unsigned int,unsigned short *,unsigned int *,unsigned short const *));code;WINSPOOL.DRV;230
?PrintUIQueueCreate@@YGXPAUHWND__@@PBGHJ@Z (void __stdcall PrintUIQueueCreate(struct HWND__ *,unsigned short const *,int,long));code;WINSPOOL.DRV;219
?PrintUIServerPropPages@@YGXPAUHWND__@@PBGHJ@Z (void __stdcall PrintUIServerPropPages(struct HWND__ *,unsigned short const *,int,long));code;WINSPOOL.DRV;231
QueryColorProfile;code;WINSPOOL.DRV;?QueryColorProfile@@YGHPAXPAU_devicemodeW@@K0PAK2@Z (int __stdcall QueryColorProfile(void *,struct _devicemodeW *,unsigned long,void *,unsigned long *,unsigned long *))
QueryRemoteFonts;code;WINSPOOL.DRV;?QueryRemoteFonts@@YGHPAXPAU_UNIVERSAL_FONT_ID@@K@Z (int __stdcall QueryRemoteFonts(void *,struct _UNIVERSAL_FONT_ID *,unsigned long))
QuerySpoolMode;code;WINSPOOL.DRV;?QuerySpoolMode@@YGHPAXPAJPAK@Z (int __stdcall QuerySpoolMode(void *,long *,unsigned long *))
?SetParentWindow@@YGHPAXPAUHWND__@@H@Z (int __stdcall SetParentWindow(void *,struct HWND__ *,int));code;WINSPOOL.DRV;363
SpoolerDevQueryPrintW;code;WINSPOOL.DRV;?SpoolerDevQueryPrintW@@YGHPAXPAU_devicemodeW@@PAKPAGK@Z (int __stdcall SpoolerDevQueryPrintW(void *,struct _devicemodeW *,unsigned long *,unsigned short *,unsigned long))
StartDocDlgW;code;WINSPOOL.DRV;?StartDocDlgW@@YGPAGPAXPAU_DOCINFOW@@@Z (unsigned short * __stdcall StartDocDlgW(void *,struct _DOCINFOW *))
AbortPrinter;code;WINSPOOL.DRV;_AbortPrinter@4
AddFormA;code;WINSPOOL.DRV;_AddFormA@12
AddFormW;code;WINSPOOL.DRV;_AddFormW@12
AddJobA;code;WINSPOOL.DRV;_AddJobA@20
AddJobW;code;WINSPOOL.DRV;_AddJobW@20
AddMonitorA;code;WINSPOOL.DRV;_AddMonitorA@12
AddMonitorW;code;WINSPOOL.DRV;_AddMonitorW@12
_AddPerMachineConnectionA@16;code;WINSPOOL.DRV;206
_AddPerMachineConnectionW@16;code;WINSPOOL.DRV;207
AddPortA;code;WINSPOOL.DRV;_AddPortA@12
AddPortExA;code;WINSPOOL.DRV;_AddPortExA@16
AddPortExW;code;WINSPOOL.DRV;_AddPortExW@16
AddPortW;code;WINSPOOL.DRV;_AddPortW@12
AddPrintProcessorA;code;WINSPOOL.DRV;_AddPrintProcessorA@16
AddPrintProcessorW;code;WINSPOOL.DRV;_AddPrintProcessorW@16
AddPrintProvidorA;code;WINSPOOL.DRV;_AddPrintProvidorA@12
AddPrintProvidorW;code;WINSPOOL.DRV;_AddPrintProvidorW@12
AddPrinterA;code;WINSPOOL.DRV;_AddPrinterA@12
AddPrinterConnection2A;code;WINSPOOL.DRV;_AddPrinterConnection2A@16
AddPrinterConnection2W;code;WINSPOOL.DRV;_AddPrinterConnection2W@16
AddPrinterConnectionA;code;WINSPOOL.DRV;_AddPrinterConnectionA@4
AddPrinterConnectionW;code;WINSPOOL.DRV;_AddPrinterConnectionW@4
AddPrinterDriverA;code;WINSPOOL.DRV;_AddPrinterDriverA@12
AddPrinterDriverExA;code;WINSPOOL.DRV;_AddPrinterDriverExA@16
AddPrinterDriverExW;code;WINSPOOL.DRV;_AddPrinterDriverExW@16
AddPrinterDriverW;code;WINSPOOL.DRV;_AddPrinterDriverW@12
AddPrinterW;code;WINSPOOL.DRV;_AddPrinterW@12
AdvancedDocumentPropertiesA;code;WINSPOOL.DRV;_AdvancedDocumentPropertiesA@20
AdvancedDocumentPropertiesW;code;WINSPOOL.DRV;_AdvancedDocumentPropertiesW@20
ClosePrinter;code;WINSPOOL.DRV;_ClosePrinter@4
CloseSpoolFileHandle;code;WINSPOOL.DRV;_CloseSpoolFileHandle@8
CommitSpoolData;code;WINSPOOL.DRV;_CommitSpoolData@12
ConfigurePortA;code;WINSPOOL.DRV;_ConfigurePortA@12
ConfigurePortW;code;WINSPOOL.DRV;_ConfigurePortW@12
ConnectToPrinterDlg;code;WINSPOOL.DRV;_ConnectToPrinterDlg@8
CorePrinterDriverInstalledA;code;WINSPOOL.DRV;_CorePrinterDriverInstalledA@44
CorePrinterDriverInstalledW;code;WINSPOOL.DRV;_CorePrinterDriverInstalledW@44
CreatePrintAsyncNotifyChannel;code;WINSPOOL.DRV;_CreatePrintAsyncNotifyChannel@24
CreatePrinterIC;code;WINSPOOL.DRV;_CreatePrinterIC@8
DEVICECAPABILITIES;code;WINSPOOL.DRV;_DEVICECAPABILITIES@20
DeleteFormA;code;WINSPOOL.DRV;_DeleteFormA@8
DeleteFormW;code;WINSPOOL.DRV;_DeleteFormW@8
DeleteJobNamedProperty;code;WINSPOOL.DRV;_DeleteJobNamedProperty@12
DeleteMonitorA;code;WINSPOOL.DRV;_DeleteMonitorA@12
DeleteMonitorW;code;WINSPOOL.DRV;_DeleteMonitorW@12
_DeletePerMachineConnectionA@8;code;WINSPOOL.DRV;208
_DeletePerMachineConnectionW@8;code;WINSPOOL.DRV;209
DeletePortA;code;WINSPOOL.DRV;_DeletePortA@12
DeletePortW;code;WINSPOOL.DRV;_DeletePortW@12
DeletePrintProcessorA;code;WINSPOOL.DRV;_DeletePrintProcessorA@12
DeletePrintProcessorW;code;WINSPOOL.DRV;_DeletePrintProcessorW@12
DeletePrintProvidorA;code;WINSPOOL.DRV;_DeletePrintProvidorA@12
DeletePrintProvidorW;code;WINSPOOL.DRV;_DeletePrintProvidorW@12
DeletePrinter;code;WINSPOOL.DRV;_DeletePrinter@4
DeletePrinterConnectionA;code;WINSPOOL.DRV;_DeletePrinterConnectionA@4
DeletePrinterConnectionW;code;WINSPOOL.DRV;_DeletePrinterConnectionW@4
DeletePrinterDataA;code;WINSPOOL.DRV;_DeletePrinterDataA@8
DeletePrinterDataExA;code;WINSPOOL.DRV;_DeletePrinterDataExA@12
DeletePrinterDataExW;code;WINSPOOL.DRV;_DeletePrinterDataExW@12
DeletePrinterDataW;code;WINSPOOL.DRV;_DeletePrinterDataW@8
DeletePrinterDriverA;code;WINSPOOL.DRV;_DeletePrinterDriverA@12
DeletePrinterDriverExA;code;WINSPOOL.DRV;_DeletePrinterDriverExA@20
