Name;Type;DLL;SymbolOrOrdinal
WldpIsAppApprovedByPolicy;code;Wldp.dll;?WldpIsAppApprovedByPolicy@@YGJPBG_K@Z (long __stdcall WldpIsAppApprovedByPolicy(unsigned short const *,unsigned __int64))
WldpIsProductionConfiguration;code;Wldp.dll;?WldpIsProductionConfiguration@@YGJPAH@Z (long __stdcall WldpIsProductionConfiguration(int *))
WldpIsWcosProductionConfiguration;code;Wldp.dll;?WldpIsWcosProductionConfiguration@@YGJPAH@Z (long __stdcall WldpIsWcosProductionConfiguration(int *))
WldpQueryPolicySettingEnabled2;code;Wldp.dll;?WldpQueryPolicySettingEnabled2@@YGJPBGPAH@Z (long __stdcall WldpQueryPolicySettingEnabled2(unsigned short const *,int *))
WldpQueryPolicySettingEnabled;code;Wldp.dll;?WldpQueryPolicySettingEnabled@@YGJW4WLDP_POLICY_SETTING@@PAH@Z (long __stdcall WldpQueryPolicySettingEnabled(enum WLDP_POLICY_SETTING,int *))
WldpQueryPolicySettingEnabledInternal;code;Wldp.dll;?WldpQueryPolicySettingEnabledInternal@@YGJW4WLDP_POLICY_SETTING_INTERNAL@@PAH@Z (long __stdcall WldpQueryPolicySettingEnabledInternal(enum WLDP_POLICY_SETTING_INTERNAL,int *))
WldpQueryWindowsLockdownMode;code;Wldp.dll;?WldpQueryWindowsLockdownMode@@YGJPAW4WLDP_WINDOWS_LOCKDOWN_MODE@@@Z (long __stdcall WldpQueryWindowsLockdownMode(enum WLDP_WINDOWS_LOCKDOWN_MODE *))
WldpQueryWindowsLockdownRestriction;code;Wldp.dll;?WldpQueryWindowsLockdownRestriction@@YGJPAW4WLDP_WINDOWS_LOCKDOWN_RESTRICTION@@@Z (long __stdcall WldpQueryWindowsLockdownRestriction(enum WLDP_WINDOWS_LOCKDOWN_RESTRICTION *))
WldpResetProductionConfiguration;code;Wldp.dll;?WldpResetProductionConfiguration@@YGJXZ (long __stdcall WldpResetProductionConfiguration(void))
WldpResetWcosProductionConfiguration;code;Wldp.dll;?WldpResetWcosProductionConfiguration@@YGJXZ (long __stdcall WldpResetWcosProductionConfiguration(void))
WldpSetWindowsLockdownRestriction;code;Wldp.dll;?WldpSetWindowsLockdownRestriction@@YGJW4WLDP_WINDOWS_LOCKDOWN_RESTRICTION@@@Z (long __stdcall WldpSetWindowsLockdownRestriction(enum WLDP_WINDOWS_LOCKDOWN_RESTRICTION))
WldpTraceLoggingWDACBlockDialogShown;code;Wldp.dll;?WldpTraceLoggingWDACBlockDialogShown@@YGXPBGJU_GUID@@@Z (void __stdcall WldpTraceLoggingWDACBlockDialogShown(unsigned short const *,long,struct _GUID))
WldpAddDeveloperCertificateForDynamicCodeTrust;code;Wldp.dll;_WldpAddDeveloperCertificateForDynamicCodeTrust@4
WldpCheckDeviceEncryptionNotStarted;code;Wldp.dll;_WldpCheckDeviceEncryptionNotStarted@4
WldpCheckRetailConfiguration;code;Wldp.dll;_WldpCheckRetailConfiguration@16
WldpCheckWcosDeviceEncryptionSecure;code;Wldp.dll;_WldpCheckWcosDeviceEncryptionSecure@4
WldpDisableDeveloperMode;code;Wldp.dll;_WldpDisableDeveloperMode@0
WldpEnableDeveloperMode;code;Wldp.dll;_WldpEnableDeveloperMode@4
WldpGetLockdownPolicy;code;Wldp.dll;_WldpGetLockdownPolicy@12
WldpIsAllowedEntryPoint;code;Wldp.dll;_WldpIsAllowedEntryPoint@16
WldpIsClassInApprovedList;code;Wldp.dll;_WldpIsClassInApprovedList@16
WldpIsDebugAllowed;code;Wldp.dll;_WldpIsDebugAllowed@8
WldpIsDynamicCodePolicyEnabled;code;Wldp.dll;_WldpIsDynamicCodePolicyEnabled@4
WldpIsProductionConfigurationInProc;code;Wldp.dll;_WldpIsProductionConfigurationInProc@4
WldpQueryDeviceSecurityInformation;code;Wldp.dll;_WldpQueryDeviceSecurityInformation@12
WldpQueryDynamicCodeTrust;code;Wldp.dll;_WldpQueryDynamicCodeTrust@12
WldpQuerySecurityPolicy;code;Wldp.dll;_WldpQuerySecurityPolicy@24
WldpSetDynamicCodeTrust2;code;Wldp.dll;_WldpSetDynamicCodeTrust2@8
WldpSetDynamicCodeTrust;code;Wldp.dll;_WldpSetDynamicCodeTrust@4
