Name;Type;DLL;SymbolOrOrdinal
BluetoothAddressToString;code;bthprops.cpl;_BluetoothAddressToString@12
BluetoothAuthenticateDevice;code;bthprops.cpl;_BluetoothAuthenticateDevice@20
BluetoothAuthenticateDeviceEx;code;bthprops.cpl;_BluetoothAuthenticateDeviceEx@20
BluetoothAuthenticateMultipleDevices;code;bthprops.cpl;_BluetoothAuthenticateMultipleDevices@16
BluetoothAuthenticationAgent;code;bthprops.cpl;_BluetoothAuthenticationAgent@16
BluetoothDisconnectDevice;code;bthprops.cpl;_BluetoothDisconnectDevice@8
BluetoothDisplayDeviceProperties;code;bthprops.cpl;_BluetoothDisplayDeviceProperties@8
BluetoothEnableDiscovery;code;bthprops.cpl;_BluetoothEnableDiscovery@8
BluetoothEnableIncomingConnections;code;bthprops.cpl;_BluetoothEnableIncomingConnections@8
BluetoothEnumerateInstalledServices;code;bthprops.cpl;_BluetoothEnumerateInstalledServices@16
BluetoothEnumerateInstalledServicesEx;code;bthprops.cpl;_BluetoothEnumerateInstalledServicesEx@16
BluetoothFindBrowseGroupClose;code;bthprops.cpl;_BluetoothFindBrowseGroupClose@4
BluetoothFindClassIdClose;code;bthprops.cpl;_BluetoothFindClassIdClose@4
BluetoothFindDeviceClose;code;bthprops.cpl;_BluetoothFindDeviceClose@4
BluetoothFindFirstBrowseGroup;code;bthprops.cpl;_BluetoothFindFirstBrowseGroup@8
BluetoothFindFirstClassId;code;bthprops.cpl;_BluetoothFindFirstClassId@8
BluetoothFindFirstDevice;code;bthprops.cpl;_BluetoothFindFirstDevice@8
BluetoothFindFirstProfileDescriptor;code;bthprops.cpl;_BluetoothFindFirstProfileDescriptor@8
BluetoothFindFirstProtocolDescriptorStack;code;bthprops.cpl;_BluetoothFindFirstProtocolDescriptorStack@8
BluetoothFindFirstProtocolEntry;code;bthprops.cpl;_BluetoothFindFirstProtocolEntry@8
BluetoothFindFirstRadio;code;bthprops.cpl;_BluetoothFindFirstRadio@8
BluetoothFindFirstService;code;bthprops.cpl;_BluetoothFindFirstService@8
BluetoothFindFirstServiceEx;code;bthprops.cpl;_BluetoothFindFirstServiceEx@12
BluetoothFindNextBrowseGroup;code;bthprops.cpl;_BluetoothFindNextBrowseGroup@8
BluetoothFindNextClassId;code;bthprops.cpl;_BluetoothFindNextClassId@8
BluetoothFindNextDevice;code;bthprops.cpl;_BluetoothFindNextDevice@8
BluetoothFindNextProfileDescriptor;code;bthprops.cpl;_BluetoothFindNextProfileDescriptor@8
BluetoothFindNextProtocolDescriptorStack;code;bthprops.cpl;_BluetoothFindNextProtocolDescriptorStack@8
BluetoothFindNextProtocolEntry;code;bthprops.cpl;_BluetoothFindNextProtocolEntry@8
BluetoothFindNextRadio;code;bthprops.cpl;_BluetoothFindNextRadio@8
BluetoothFindNextService;code;bthprops.cpl;_BluetoothFindNextService@8
BluetoothFindProfileDescriptorClose;code;bthprops.cpl;_BluetoothFindProfileDescriptorClose@4
BluetoothFindProtocolDescriptorStackClose;code;bthprops.cpl;_BluetoothFindProtocolDescriptorStackClose@4
BluetoothFindProtocolEntryClose;code;bthprops.cpl;_BluetoothFindProtocolEntryClose@4
BluetoothFindRadioClose;code;bthprops.cpl;_BluetoothFindRadioClose@4
BluetoothFindServiceClose;code;bthprops.cpl;_BluetoothFindServiceClose@4
BluetoothGetDeviceInfo;code;bthprops.cpl;_BluetoothGetDeviceInfo@8
BluetoothGetRadioInfo;code;bthprops.cpl;_BluetoothGetRadioInfo@8
BluetoothIsConnectable;code;bthprops.cpl;_BluetoothIsConnectable@4
BluetoothIsDiscoverable;code;bthprops.cpl;_BluetoothIsDiscoverable@4
BluetoothIsVersionAvailable;code;bthprops.cpl;_BluetoothIsVersionAvailable@8
BluetoothMapClassOfDeviceToImageIndex;code;bthprops.cpl;_BluetoothMapClassOfDeviceToImageIndex@4
BluetoothMapClassOfDeviceToString;code;bthprops.cpl;_BluetoothMapClassOfDeviceToString@4
BluetoothRegisterForAuthentication;code;bthprops.cpl;_BluetoothRegisterForAuthentication@16
BluetoothRegisterForAuthenticationEx;code;bthprops.cpl;_BluetoothRegisterForAuthenticationEx@16
BluetoothRemoveDevice;code;bthprops.cpl;_BluetoothRemoveDevice@4
BluetoothSdpEnumAttributes;code;bthprops.cpl;_BluetoothSdpEnumAttributes@16
BluetoothSdpGetAttributeValue;code;bthprops.cpl;_BluetoothSdpGetAttributeValue@16
BluetoothSdpGetContainerElementData;code;bthprops.cpl;_BluetoothSdpGetContainerElementData@16
BluetoothSdpGetElementData;code;bthprops.cpl;_BluetoothSdpGetElementData@12
BluetoothSdpGetString;code;bthprops.cpl;_BluetoothSdpGetString@24
BluetoothSelectDevices;code;bthprops.cpl;_BluetoothSelectDevices@4
BluetoothSelectDevicesFree;code;bthprops.cpl;_BluetoothSelectDevicesFree@4
BluetoothSendAuthenticationResponse;code;bthprops.cpl;_BluetoothSendAuthenticationResponse@12
BluetoothSendAuthenticationResponseEx;code;bthprops.cpl;_BluetoothSendAuthenticationResponseEx@8
BluetoothSetLocalServiceInfo;code;bthprops.cpl;_BluetoothSetLocalServiceInfo@16
BluetoothSetServiceState;code;bthprops.cpl;_BluetoothSetServiceState@16
BluetoothUnregisterAuthentication;code;bthprops.cpl;_BluetoothUnregisterAuthentication@4
BluetoothUpdateDeviceRecord;code;bthprops.cpl;_BluetoothUpdateDeviceRecord@4
BthpEnableAllServices;code;bthprops.cpl;_BthpEnableAllServices@8
BthpFindPnpInfo;code;bthprops.cpl;_BthpFindPnpInfo@16
BthpMapStatusToErr;code;bthprops.cpl;_BthpMapStatusToErr@4
CPlApplet;code;bthprops.cpl;_CPlApplet@16
