Name;Type;DLL;SymbolOrOrdinal
CMP_GetServerSideDeviceInstallFlags;code;CFGMGR32.dll;_CMP_GetServerSideDeviceInstallFlags@12
CMP_WaitNoPendingInstallEvents;code;CFGMGR32.dll;_CMP_WaitNoPendingInstallEvents@4
CM_Add_Empty_Log_Conf;code;CFGMGR32.dll;_CM_Add_Empty_Log_Conf@16
CM_Add_Empty_Log_Conf_Ex;code;CFGMGR32.dll;_CM_Add_Empty_Log_Conf_Ex@20
CM_Add_IDA;code;CFGMGR32.dll;_CM_Add_IDA@12
CM_Add_IDW;code;CFGMGR32.dll;_CM_Add_IDW@12
CM_Add_ID_ExA;code;CFGMGR32.dll;_CM_Add_ID_ExA@16
CM_Add_ID_ExW;code;CFGMGR32.dll;_CM_Add_ID_ExW@16
CM_Add_Range;code;CFGMGR32.dll;_CM_Add_Range@24
CM_Add_Res_Des;code;CFGMGR32.dll;_CM_Add_Res_Des@24
CM_Add_Res_Des_Ex;code;CFGMGR32.dll;_CM_Add_Res_Des_Ex@28
CM_Connect_MachineA;code;CFGMGR32.dll;_CM_Connect_MachineA@8
CM_Connect_MachineW;code;CFGMGR32.dll;_CM_Connect_MachineW@8
CM_Create_DevNodeA;code;CFGMGR32.dll;_CM_Create_DevNodeA@16
CM_Create_DevNodeW;code;CFGMGR32.dll;_CM_Create_DevNodeW@16
CM_Create_DevNode_ExA;code;CFGMGR32.dll;_CM_Create_DevNode_ExA@20
CM_Create_DevNode_ExW;code;CFGMGR32.dll;_CM_Create_DevNode_ExW@20
CM_Create_Range_List;code;CFGMGR32.dll;_CM_Create_Range_List@8
CM_Delete_Class_Key;code;CFGMGR32.dll;_CM_Delete_Class_Key@8
CM_Delete_Class_Key_Ex;code;CFGMGR32.dll;_CM_Delete_Class_Key_Ex@12
CM_Delete_DevNode_Key;code;CFGMGR32.dll;_CM_Delete_DevNode_Key@12
CM_Delete_DevNode_Key_Ex;code;CFGMGR32.dll;_CM_Delete_DevNode_Key_Ex@16
CM_Delete_Device_Interface_KeyA;code;CFGMGR32.dll;_CM_Delete_Device_Interface_KeyA@8
CM_Delete_Device_Interface_KeyW;code;CFGMGR32.dll;_CM_Delete_Device_Interface_KeyW@8
CM_Delete_Device_Interface_Key_ExA;code;CFGMGR32.dll;_CM_Delete_Device_Interface_Key_ExA@12
CM_Delete_Device_Interface_Key_ExW;code;CFGMGR32.dll;_CM_Delete_Device_Interface_Key_ExW@12
CM_Delete_Range;code;CFGMGR32.dll;_CM_Delete_Range@24
CM_Detect_Resource_Conflict;code;CFGMGR32.dll;_CM_Detect_Resource_Conflict@24
CM_Detect_Resource_Conflict_Ex;code;CFGMGR32.dll;_CM_Detect_Resource_Conflict_Ex@28
CM_Disable_DevNode;code;CFGMGR32.dll;_CM_Disable_DevNode@8
CM_Disable_DevNode_Ex;code;CFGMGR32.dll;_CM_Disable_DevNode_Ex@12
CM_Disconnect_Machine;code;CFGMGR32.dll;_CM_Disconnect_Machine@4
CM_Dup_Range_List;code;CFGMGR32.dll;_CM_Dup_Range_List@12
CM_Enable_DevNode;code;CFGMGR32.dll;_CM_Enable_DevNode@8
CM_Enable_DevNode_Ex;code;CFGMGR32.dll;_CM_Enable_DevNode_Ex@12
CM_Enumerate_Classes;code;CFGMGR32.dll;_CM_Enumerate_Classes@12
CM_Enumerate_Classes_Ex;code;CFGMGR32.dll;_CM_Enumerate_Classes_Ex@16
CM_Enumerate_EnumeratorsA;code;CFGMGR32.dll;_CM_Enumerate_EnumeratorsA@16
CM_Enumerate_EnumeratorsW;code;CFGMGR32.dll;_CM_Enumerate_EnumeratorsW@16
CM_Enumerate_Enumerators_ExA;code;CFGMGR32.dll;_CM_Enumerate_Enumerators_ExA@20
CM_Enumerate_Enumerators_ExW;code;CFGMGR32.dll;_CM_Enumerate_Enumerators_ExW@20
CM_Find_Range;code;CFGMGR32.dll;_CM_Find_Range@40
CM_First_Range;code;CFGMGR32.dll;_CM_First_Range@20
CM_Free_Log_Conf;code;CFGMGR32.dll;_CM_Free_Log_Conf@8
CM_Free_Log_Conf_Ex;code;CFGMGR32.dll;_CM_Free_Log_Conf_Ex@12
CM_Free_Log_Conf_Handle;code;CFGMGR32.dll;_CM_Free_Log_Conf_Handle@4
CM_Free_Range_List;code;CFGMGR32.dll;_CM_Free_Range_List@8
CM_Free_Res_Des;code;CFGMGR32.dll;_CM_Free_Res_Des@12
CM_Free_Res_Des_Ex;code;CFGMGR32.dll;_CM_Free_Res_Des_Ex@16
CM_Free_Res_Des_Handle;code;CFGMGR32.dll;_CM_Free_Res_Des_Handle@4
CM_Free_Resource_Conflict_Handle;code;CFGMGR32.dll;_CM_Free_Resource_Conflict_Handle@4
CM_Get_Child;code;CFGMGR32.dll;_CM_Get_Child@12
CM_Get_Child_Ex;code;CFGMGR32.dll;_CM_Get_Child_Ex@16
CM_Get_Class_Key_NameA;code;CFGMGR32.dll;_CM_Get_Class_Key_NameA@16
CM_Get_Class_Key_NameW;code;CFGMGR32.dll;_CM_Get_Class_Key_NameW@16
CM_Get_Class_Key_Name_ExA;code;CFGMGR32.dll;_CM_Get_Class_Key_Name_ExA@20
CM_Get_Class_Key_Name_ExW;code;CFGMGR32.dll;_CM_Get_Class_Key_Name_ExW@20
