Name;Type;DLL;SymbolOrOrdinal
CfAbortOperation;code;cldapi.dll;_CfAbortOperation@12
CfCloseAppPolicy;code;cldapi.dll;_CfCloseAppPolicy@8
CfCloseHandle;code;cldapi.dll;_CfCloseHandle@4
CfConnectSyncRoot;code;cldapi.dll;_CfConnectSyncRoot@20
CfConvertToPlaceholder;code;cldapi.dll;_CfConvertToPlaceholder@24
CfCreatePlaceholders;code;cldapi.dll;_CfCreatePlaceholders@20
CfDehydratePlaceholder;code;cldapi.dll;_CfDehydratePlaceholder@28
CfDehydratePlaceholderEx;code;cldapi.dll;_CfDehydratePlaceholderEx@32
CfDisconnectSyncRoot;code;cldapi.dll;_CfDisconnectSyncRoot@8
CfEnumAppPolicy;code;cldapi.dll;_CfEnumAppPolicy@32
CfExecute;code;cldapi.dll;_CfExecute@8
CfGetCorrelationVector;code;cldapi.dll;_CfGetCorrelationVector@8
CfGetLastSyncStatus;code;cldapi.dll;_CfGetLastSyncStatus@16
CfGetPlaceholderInfo;code;cldapi.dll;_CfGetPlaceholderInfo@20
CfGetPlaceholderRangeInfo;code;cldapi.dll;_CfGetPlaceholderRangeInfo@36
CfGetPlaceholderStateFromAttributeTag;code;cldapi.dll;_CfGetPlaceholderStateFromAttributeTag@8
CfGetPlaceholderStateFromFileInfo;code;cldapi.dll;_CfGetPlaceholderStateFromFileInfo@8
CfGetPlaceholderStateFromFindData;code;cldapi.dll;_CfGetPlaceholderStateFromFindData@4
CfGetPlatformInfo;code;cldapi.dll;_CfGetPlatformInfo@4
CfGetSyncRootInfoByHandle;code;cldapi.dll;_CfGetSyncRootInfoByHandle@20
CfGetSyncRootInfoByPath;code;cldapi.dll;_CfGetSyncRootInfoByPath@20
CfGetTransferKey;code;cldapi.dll;_CfGetTransferKey@8
CfGetWin32HandleFromProtectedHandle;code;cldapi.dll;_CfGetWin32HandleFromProtectedHandle@4
CfHydratePlaceholder;code;cldapi.dll;_CfHydratePlaceholder@28
CfHydratePlaceholderWithAttributionPrivate;code;cldapi.dll;_CfHydratePlaceholderWithAttributionPrivate@36
CfLockProperties;code;cldapi.dll;_CfLockProperties@20
CfOpenAppPolicy;code;cldapi.dll;_CfOpenAppPolicy@8
CfOpenFileWithOplock;code;cldapi.dll;_CfOpenFileWithOplock@12
CfOpenProgressEvent;code;cldapi.dll;_CfOpenProgressEvent@4
CfQueryProgress;code;cldapi.dll;_CfQueryProgress@12
CfQuerySyncProviderStatus;code;cldapi.dll;_CfQuerySyncProviderStatus@12
CfReferenceProtectedHandle;code;cldapi.dll;_CfReferenceProtectedHandle@4
CfRegisterSyncRoot;code;cldapi.dll;_CfRegisterSyncRoot@16
CfReleaseProtectedHandle;code;cldapi.dll;_CfReleaseProtectedHandle@4
CfReleaseTransferKey;code;cldapi.dll;_CfReleaseTransferKey@8
CfReportProviderProgress2;code;cldapi.dll;_CfReportProviderProgress2@44
CfReportProviderProgress;code;cldapi.dll;_CfReportProviderProgress@32
CfReportSyncStatus;code;cldapi.dll;_CfReportSyncStatus@8
CfRetrieveProperties;code;cldapi.dll;_CfRetrieveProperties@12
CfRevertPlaceholder;code;cldapi.dll;_CfRevertPlaceholder@12
CfSetAppPolicy;code;cldapi.dll;_CfSetAppPolicy@16
CfSetCorrelationVector;code;cldapi.dll;_CfSetCorrelationVector@8
CfSetInSyncState;code;cldapi.dll;_CfSetInSyncState@16
CfSetPinState;code;cldapi.dll;_CfSetPinState@16
CfStoreProperties;code;cldapi.dll;_CfStoreProperties@12
CfUnlockProperties;code;cldapi.dll;_CfUnlockProperties@12
CfUnregisterSyncRoot;code;cldapi.dll;_CfUnregisterSyncRoot@4
CfUpdatePlaceholder;code;cldapi.dll;_CfUpdatePlaceholder@36
CfUpdateSyncProviderStatus;code;cldapi.dll;_CfUpdateSyncProviderStatus@12
