Name;Type;DLL;SymbolOrOrdinal
DhcpAddFilterV4;code;DHCPSAPI.DLL;_DhcpAddFilterV4@12
DhcpAddMScopeElement;code;DHCPSAPI.DLL;_DhcpAddMScopeElement@12
DhcpAddSecurityGroup;code;DHCPSAPI.DLL;_DhcpAddSecurityGroup@4
DhcpAddServer;code;DHCPSAPI.DLL;_DhcpAddServer@20
DhcpAddSubnetElement;code;DHCPSAPI.DLL;_DhcpAddSubnetElement@12
DhcpAddSubnetElementV4;code;DHCPSAPI.DLL;_DhcpAddSubnetElementV4@12
DhcpAddSubnetElementV5;code;DHCPSAPI.DLL;_DhcpAddSubnetElementV5@12
DhcpAddSubnetElementV6;code;DHCPSAPI.DLL;_DhcpAddSubnetElementV6@24
DhcpAuditLogGetParams;code;DHCPSAPI.DLL;_DhcpAuditLogGetParams@24
DhcpAuditLogSetParams;code;DHCPSAPI.DLL;_DhcpAuditLogSetParams@24
DhcpCreateClass;code;DHCPSAPI.DLL;_DhcpCreateClass@12
DhcpCreateClassV6;code;DHCPSAPI.DLL;_DhcpCreateClassV6@12
DhcpCreateClientInfo;code;DHCPSAPI.DLL;_DhcpCreateClientInfo@8
DhcpCreateClientInfoV4;code;DHCPSAPI.DLL;_DhcpCreateClientInfoV4@8
DhcpCreateClientInfoVQ;code;DHCPSAPI.DLL;_DhcpCreateClientInfoVQ@8
DhcpCreateOption;code;DHCPSAPI.DLL;_DhcpCreateOption@12
DhcpCreateOptionV5;code;DHCPSAPI.DLL;_DhcpCreateOptionV5@24
DhcpCreateOptionV6;code;DHCPSAPI.DLL;_DhcpCreateOptionV6@24
DhcpCreateSubnet;code;DHCPSAPI.DLL;_DhcpCreateSubnet@12
DhcpCreateSubnetV6;code;DHCPSAPI.DLL;_DhcpCreateSubnetV6@24
DhcpCreateSubnetVQ;code;DHCPSAPI.DLL;_DhcpCreateSubnetVQ@12
DhcpDeleteClass;code;DHCPSAPI.DLL;_DhcpDeleteClass@12
