Name;Type;DLL;SymbolOrOrdinal
BCryptAddContextFunction;code;ncrypt.dll;_BCryptAddContextFunction@20
BCryptCloseAlgorithmProvider;code;ncrypt.dll;_BCryptCloseAlgorithmProvider@8
BCryptConfigureContext;code;ncrypt.dll;_BCryptConfigureContext@12
BCryptConfigureContextFunction;code;ncrypt.dll;_BCryptConfigureContextFunction@20
BCryptCreateContext;code;ncrypt.dll;_BCryptCreateContext@12
BCryptCreateHash;code;ncrypt.dll;_BCryptCreateHash@28
BCryptDecrypt;code;ncrypt.dll;_BCryptDecrypt@40
BCryptDeleteContext;code;ncrypt.dll;_BCryptDeleteContext@8
BCryptDeriveKey;code;ncrypt.dll;_BCryptDeriveKey@28
BCryptDeriveKeyCapi;code;ncrypt.dll;_BCryptDeriveKeyCapi@20
BCryptDeriveKeyPBKDF2;code;ncrypt.dll;_BCryptDeriveKeyPBKDF2@40
BCryptDestroyHash;code;ncrypt.dll;_BCryptDestroyHash@4
BCryptDestroyKey;code;ncrypt.dll;_BCryptDestroyKey@4
BCryptDestroySecret;code;ncrypt.dll;_BCryptDestroySecret@4
BCryptDuplicateHash;code;ncrypt.dll;_BCryptDuplicateHash@20
BCryptDuplicateKey;code;ncrypt.dll;_BCryptDuplicateKey@20
BCryptEncrypt;code;ncrypt.dll;_BCryptEncrypt@40
BCryptEnumAlgorithms;code;ncrypt.dll;_BCryptEnumAlgorithms@16
BCryptEnumContextFunctionProviders;code;ncrypt.dll;_BCryptEnumContextFunctionProviders@24
BCryptEnumContextFunctions;code;ncrypt.dll;_BCryptEnumContextFunctions@20
BCryptEnumContexts;code;ncrypt.dll;_BCryptEnumContexts@12
BCryptEnumProviders;code;ncrypt.dll;_BCryptEnumProviders@16
BCryptEnumRegisteredProviders;code;ncrypt.dll;_BCryptEnumRegisteredProviders@8
BCryptExportKey;code;ncrypt.dll;_BCryptExportKey@28
BCryptFinalizeKeyPair;code;ncrypt.dll;_BCryptFinalizeKeyPair@8
BCryptFinishHash;code;ncrypt.dll;_BCryptFinishHash@16
BCryptFreeBuffer;code;ncrypt.dll;_BCryptFreeBuffer@4
BCryptGenRandom;code;ncrypt.dll;_BCryptGenRandom@16
BCryptGenerateKeyPair;code;ncrypt.dll;_BCryptGenerateKeyPair@16
BCryptGenerateSymmetricKey;code;ncrypt.dll;_BCryptGenerateSymmetricKey@28
BCryptGetFipsAlgorithmMode;code;ncrypt.dll;_BCryptGetFipsAlgorithmMode@4
BCryptGetProperty;code;ncrypt.dll;_BCryptGetProperty@24
BCryptHash;code;ncrypt.dll;_BCryptHash@28
BCryptHashData;code;ncrypt.dll;_BCryptHashData@16
BCryptImportKey;code;ncrypt.dll;_BCryptImportKey@36
BCryptImportKeyPair;code;ncrypt.dll;_BCryptImportKeyPair@28
BCryptKeyDerivation;code;ncrypt.dll;_BCryptKeyDerivation@24
BCryptOpenAlgorithmProvider;code;ncrypt.dll;_BCryptOpenAlgorithmProvider@16
BCryptQueryContextConfiguration;code;ncrypt.dll;_BCryptQueryContextConfiguration@16
BCryptQueryContextFunctionConfiguration;code;ncrypt.dll;_BCryptQueryContextFunctionConfiguration@24
BCryptQueryContextFunctionProperty;code;ncrypt.dll;_BCryptQueryContextFunctionProperty@28
BCryptQueryProviderRegistration;code;ncrypt.dll;_BCryptQueryProviderRegistration@20
BCryptRegisterConfigChangeNotify;code;ncrypt.dll;_BCryptRegisterConfigChangeNotify@4
BCryptRemoveContextFunction;code;ncrypt.dll;_BCryptRemoveContextFunction@16
BCryptResolveProviders;code;ncrypt.dll;_BCryptResolveProviders@32
BCryptSecretAgreement;code;ncrypt.dll;_BCryptSecretAgreement@16
BCryptSetAuditingInterface;code;ncrypt.dll;_BCryptSetAuditingInterface@4
BCryptSetContextFunctionProperty;code;ncrypt.dll;_BCryptSetContextFunctionProperty@28
BCryptSetProperty;code;ncrypt.dll;_BCryptSetProperty@20
BCryptSignHash;code;ncrypt.dll;_BCryptSignHash@32
BCryptUnregisterConfigChangeNotify;code;ncrypt.dll;_BCryptUnregisterConfigChangeNotify@4
BCryptVerifySignature;code;ncrypt.dll;_BCryptVerifySignature@28
GetIsolationServerInterface;code;ncrypt.dll;_GetIsolationServerInterface@12
GetKeyStorageInterface;code;ncrypt.dll;_GetKeyStorageInterface@12
GetSChannelInterface;code;ncrypt.dll;_GetSChannelInterface@12
NCryptCloseProtectionDescriptor;code;ncrypt.dll;_NCryptCloseProtectionDescriptor@4
NCryptCreateClaim;code;ncrypt.dll;_NCryptCreateClaim@32
NCryptCreatePersistedKey;code;ncrypt.dll;_NCryptCreatePersistedKey@24
NCryptCreateProtectionDescriptor;code;ncrypt.dll;_NCryptCreateProtectionDescriptor@12
NCryptDecrypt;code;ncrypt.dll;_NCryptDecrypt@32
NCryptDeleteKey;code;ncrypt.dll;_NCryptDeleteKey@8
NCryptDeriveKey;code;ncrypt.dll;_NCryptDeriveKey@28
NCryptEncrypt;code;ncrypt.dll;_NCryptEncrypt@32
NCryptEnumAlgorithms;code;ncrypt.dll;_NCryptEnumAlgorithms@20
NCryptEnumKeys;code;ncrypt.dll;_NCryptEnumKeys@20
NCryptEnumStorageProviders;code;ncrypt.dll;_NCryptEnumStorageProviders@12
NCryptExportKey;code;ncrypt.dll;_NCryptExportKey@32
NCryptFinalizeKey;code;ncrypt.dll;_NCryptFinalizeKey@8
NCryptFreeBuffer;code;ncrypt.dll;_NCryptFreeBuffer@4
NCryptFreeObject;code;ncrypt.dll;_NCryptFreeObject@4
NCryptGetProperty;code;ncrypt.dll;_NCryptGetProperty@24
NCryptGetProtectionDescriptorInfo;code;ncrypt.dll;_NCryptGetProtectionDescriptorInfo@16
NCryptImportKey;code;ncrypt.dll;_NCryptImportKey@32
NCryptIsAlgSupported;code;ncrypt.dll;_NCryptIsAlgSupported@12
NCryptIsKeyHandle;code;ncrypt.dll;_NCryptIsKeyHandle@4
