Name;Type;DLL;SymbolOrOrdinal
RtlActivateActivationContextUnsafeFast;code;ntdll.dll;@RtlActivateActivationContextUnsafeFast@8
RtlDeactivateActivationContextUnsafeFast;code;ntdll.dll;@RtlDeactivateActivationContextUnsafeFast@4
RtlInterlockedPushListSList;code;ntdll.dll;@RtlInterlockedPushListSList@16
RtlUlongByteSwap;code;ntdll.dll;@RtlUlongByteSwap@4
RtlUlonglongByteSwap;code;ntdll.dll;@RtlUlonglongByteSwap@8
RtlUshortByteSwap;code;ntdll.dll;@RtlUshortByteSwap@4
AlpcAdjustCompletionListConcurrencyCount;code;ntdll.dll;_AlpcAdjustCompletionListConcurrencyCount@8
AlpcFreeCompletionListMessage;code;ntdll.dll;_AlpcFreeCompletionListMessage@8
AlpcGetCompletionListLastMessageInformation;code;ntdll.dll;_AlpcGetCompletionListLastMessageInformation@12
AlpcGetCompletionListMessageAttributes;code;ntdll.dll;_AlpcGetCompletionListMessageAttributes@8
AlpcGetHeaderSize;code;ntdll.dll;_AlpcGetHeaderSize@4
AlpcGetMessageAttribute;code;ntdll.dll;_AlpcGetMessageAttribute@8
AlpcGetMessageFromCompletionList;code;ntdll.dll;_AlpcGetMessageFromCompletionList@8
AlpcGetOutstandingCompletionListMessageCount;code;ntdll.dll;_AlpcGetOutstandingCompletionListMessageCount@4
AlpcInitializeMessageAttribute;code;ntdll.dll;_AlpcInitializeMessageAttribute@16
AlpcMaxAllowedMessageLength;code;ntdll.dll;_AlpcMaxAllowedMessageLength@0
AlpcRegisterCompletionList;code;ntdll.dll;_AlpcRegisterCompletionList@20
AlpcRegisterCompletionListWorkerThread;code;ntdll.dll;_AlpcRegisterCompletionListWorkerThread@4
AlpcRundownCompletionList;code;ntdll.dll;_AlpcRundownCompletionList@4
AlpcUnregisterCompletionList;code;ntdll.dll;_AlpcUnregisterCompletionList@4
AlpcUnregisterCompletionListWorkerThread;code;ntdll.dll;_AlpcUnregisterCompletionListWorkerThread@4
CsrAllocateCaptureBuffer;code;ntdll.dll;_CsrAllocateCaptureBuffer@8
CsrAllocateMessagePointer;code;ntdll.dll;_CsrAllocateMessagePointer@12
CsrCaptureMessageBuffer;code;ntdll.dll;_CsrCaptureMessageBuffer@16
CsrCaptureMessageMultiUnicodeStringsInPlace;code;ntdll.dll;_CsrCaptureMessageMultiUnicodeStringsInPlace@12
CsrCaptureMessageString;code;ntdll.dll;_CsrCaptureMessageString@20
CsrCaptureTimeout;code;ntdll.dll;_CsrCaptureTimeout@8
CsrClientCallServer;code;ntdll.dll;_CsrClientCallServer@16
CsrClientConnectToServer;code;ntdll.dll;_CsrClientConnectToServer@20
CsrFreeCaptureBuffer;code;ntdll.dll;_CsrFreeCaptureBuffer@4
CsrGetProcessId;code;ntdll.dll;_CsrGetProcessId@0
CsrIdentifyAlertableThread;code;ntdll.dll;_CsrIdentifyAlertableThread@0
CsrSetPriorityClass;code;ntdll.dll;_CsrSetPriorityClass@8
CsrVerifyRegion;code;ntdll.dll;_CsrVerifyRegion@8
DbgBreakPoint;code;ntdll.dll;_DbgBreakPoint@0
DbgPrint;code;ntdll.dll;_DbgPrint
DbgPrintEx;code;ntdll.dll;_DbgPrintEx
DbgPrintReturnControlC;code;ntdll.dll;_DbgPrintReturnControlC
DbgPrompt;code;ntdll.dll;_DbgPrompt@12
DbgQueryDebugFilterState;code;ntdll.dll;_DbgQueryDebugFilterState@8
DbgSetDebugFilterState;code;ntdll.dll;_DbgSetDebugFilterState@12
DbgUiConnectToDbg;code;ntdll.dll;_DbgUiConnectToDbg@0
DbgUiContinue;code;ntdll.dll;_DbgUiContinue@8
DbgUiConvertStateChangeStructure;code;ntdll.dll;_DbgUiConvertStateChangeStructure@8
DbgUiConvertStateChangeStructureEx;code;ntdll.dll;_DbgUiConvertStateChangeStructureEx@8
DbgUiDebugActiveProcess;code;ntdll.dll;_DbgUiDebugActiveProcess@4
DbgUiGetThreadDebugObject;code;ntdll.dll;_DbgUiGetThreadDebugObject@0
DbgUiIssueRemoteBreakin;code;ntdll.dll;_DbgUiIssueRemoteBreakin@4
DbgUiRemoteBreakin;code;ntdll.dll;_DbgUiRemoteBreakin@4
DbgUiSetThreadDebugObject;code;ntdll.dll;_DbgUiSetThreadDebugObject@4
DbgUiStopDebugging;code;ntdll.dll;_DbgUiStopDebugging@4
DbgUiWaitStateChange;code;ntdll.dll;_DbgUiWaitStateChange@8
DbgUserBreakPoint;code;ntdll.dll;_DbgUserBreakPoint@0
EtwCreateTraceInstanceId;code;ntdll.dll;_EtwCreateTraceInstanceId@8
EtwDeliverDataBlock;code;ntdll.dll;_EtwDeliverDataBlock@4
EtwEnumerateProcessRegGuids;code;ntdll.dll;_EtwEnumerateProcessRegGuids@12
EtwEventActivityIdControl;code;ntdll.dll;_EtwEventActivityIdControl@8
EtwEventEnabled;code;ntdll.dll;_EtwEventEnabled@12
EtwEventProviderEnabled;code;ntdll.dll;_EtwEventProviderEnabled@20
EtwEventRegister;code;ntdll.dll;_EtwEventRegister@16
EtwEventSetInformation;code;ntdll.dll;_EtwEventSetInformation@20
EtwEventUnregister;code;ntdll.dll;_EtwEventUnregister@8
EtwEventWrite;code;ntdll.dll;_EtwEventWrite@20
EtwEventWriteEndScenario;code;ntdll.dll;_EtwEventWriteEndScenario@20
EtwEventWriteEx;code;ntdll.dll;_EtwEventWriteEx@40
EtwEventWriteFull;code;ntdll.dll;_EtwEventWriteFull@32
EtwEventWriteNoRegistration;code;ntdll.dll;_EtwEventWriteNoRegistration@16
EtwEventWriteStartScenario;code;ntdll.dll;_EtwEventWriteStartScenario@20
EtwEventWriteString;code;ntdll.dll;_EtwEventWriteString@24
EtwEventWriteTransfer;code;ntdll.dll;_EtwEventWriteTransfer@28
EtwGetTraceEnableFlags;code;ntdll.dll;_EtwGetTraceEnableFlags@8
EtwGetTraceEnableLevel;code;ntdll.dll;_EtwGetTraceEnableLevel@8
EtwGetTraceLoggerHandle;code;ntdll.dll;_EtwGetTraceLoggerHandle@4
EtwLogTraceEvent;code;ntdll.dll;_EtwLogTraceEvent@12
EtwNotificationRegister;code;ntdll.dll;_EtwNotificationRegister@20
EtwNotificationUnregister;code;ntdll.dll;_EtwNotificationUnregister@12
EtwProcessPrivateLoggerRequest;code;ntdll.dll;_EtwProcessPrivateLoggerRequest@4
EtwRegisterSecurityProvider;code;ntdll.dll;_EtwRegisterSecurityProvider@0
EtwRegisterTraceGuidsA;code;ntdll.dll;_EtwRegisterTraceGuidsA@32
EtwRegisterTraceGuidsW;code;ntdll.dll;_EtwRegisterTraceGuidsW@32
EtwReplyNotification;code;ntdll.dll;_EtwReplyNotification@4
EtwSendNotification;code;ntdll.dll;_EtwSendNotification@20
EtwTraceEventInstance;code;ntdll.dll;_EtwTraceEventInstance@20
EtwTraceMessage;code;ntdll.dll;_EtwTraceMessage
EtwTraceMessageVa;code;ntdll.dll;_EtwTraceMessageVa@24
EtwUnregisterTraceGuids;code;ntdll.dll;_EtwUnregisterTraceGuids@8
EtwWriteUMSecurityEvent;code;ntdll.dll;_EtwWriteUMSecurityEvent@16
EtwpCreateEtwThread;code;ntdll.dll;_EtwpCreateEtwThread@8
EtwpGetCpuSpeed;code;ntdll.dll;_EtwpGetCpuSpeed@4
EvtIntReportAuthzEventAndSourceAsync;code;ntdll.dll;_EvtIntReportAuthzEventAndSourceAsync@44
EvtIntReportEventAndSourceAsync;code;ntdll.dll;_EvtIntReportEventAndSourceAsync@44
LdrAccessResource;code;ntdll.dll;_LdrAccessResource@16
LdrAddDllDirectory;code;ntdll.dll;_LdrAddDllDirectory@8
LdrAddLoadAsDataTable;code;ntdll.dll;_LdrAddLoadAsDataTable@20
LdrAddRefDll;code;ntdll.dll;_LdrAddRefDll@8
LdrAppxHandleIntegrityFailure;code;ntdll.dll;_LdrAppxHandleIntegrityFailure@4
LdrDisableThreadCalloutsForDll;code;ntdll.dll;_LdrDisableThreadCalloutsForDll@4
LdrEnumResources;code;ntdll.dll;_LdrEnumResources@20
LdrEnumerateLoadedModules;code;ntdll.dll;_LdrEnumerateLoadedModules@12
LdrFastFailInLoaderCallout;code;ntdll.dll;_LdrFastFailInLoaderCallout@0
LdrFindEntryForAddress;code;ntdll.dll;_LdrFindEntryForAddress@8
LdrFindResourceDirectory_U;code;ntdll.dll;_LdrFindResourceDirectory_U@16
LdrFindResourceEx_U;code;ntdll.dll;_LdrFindResourceEx_U@20
LdrFindResource_U;code;ntdll.dll;_LdrFindResource_U@16
LdrFlushAlternateResourceModules;code;ntdll.dll;_LdrFlushAlternateResourceModules@0
LdrGetDllDirectory;code;ntdll.dll;_LdrGetDllDirectory@4
LdrGetDllFullName;code;ntdll.dll;_LdrGetDllFullName@8
LdrGetDllHandle;code;ntdll.dll;_LdrGetDllHandle@16
LdrGetDllHandleByMapping;code;ntdll.dll;_LdrGetDllHandleByMapping@8
LdrGetDllHandleByName;code;ntdll.dll;_LdrGetDllHandleByName@12
LdrGetDllHandleEx;code;ntdll.dll;_LdrGetDllHandleEx@20
LdrGetDllPath;code;ntdll.dll;_LdrGetDllPath@16
LdrGetFileNameFromLoadAsDataTable;code;ntdll.dll;_LdrGetFileNameFromLoadAsDataTable@8
LdrGetProcedureAddress;code;ntdll.dll;_LdrGetProcedureAddress@16
LdrGetProcedureAddressEx;code;ntdll.dll;_LdrGetProcedureAddressEx@20
LdrGetProcedureAddressForCaller;code;ntdll.dll;_LdrGetProcedureAddressForCaller@24
LdrInitShimEngineDynamic;code;ntdll.dll;_LdrInitShimEngineDynamic@8
LdrLoadAlternateResourceModule;code;ntdll.dll;_LdrLoadAlternateResourceModule@16
LdrLoadAlternateResourceModuleEx;code;ntdll.dll;_LdrLoadAlternateResourceModuleEx@20
LdrLoadDll;code;ntdll.dll;_LdrLoadDll@16
LdrLockLoaderLock;code;ntdll.dll;_LdrLockLoaderLock@12
LdrOpenImageFileOptionsKey;code;ntdll.dll;_LdrOpenImageFileOptionsKey@12
LdrProcessRelocationBlock;code;ntdll.dll;_LdrProcessRelocationBlock@16
LdrProcessRelocationBlockEx;code;ntdll.dll;_LdrProcessRelocationBlockEx@20
LdrQueryImageFileExecutionOptions;code;ntdll.dll;_LdrQueryImageFileExecutionOptions@24
LdrQueryImageFileExecutionOptionsEx;code;ntdll.dll;_LdrQueryImageFileExecutionOptionsEx@28
LdrQueryImageFileKeyOption;code;ntdll.dll;_LdrQueryImageFileKeyOption@24
LdrQueryModuleServiceTags;code;ntdll.dll;_LdrQueryModuleServiceTags@12
LdrQueryOptionalDelayLoadedAPI;code;ntdll.dll;_LdrQueryOptionalDelayLoadedAPI@16
LdrQueryProcessModuleInformation;code;ntdll.dll;_LdrQueryProcessModuleInformation@12
LdrRemoveDllDirectory;code;ntdll.dll;_LdrRemoveDllDirectory@4
LdrRemoveLoadAsDataTable;code;ntdll.dll;_LdrRemoveLoadAsDataTable@16
LdrResFindResource;code;ntdll.dll;_LdrResFindResource@36
LdrResFindResourceDirectory;code;ntdll.dll;_LdrResFindResourceDirectory@28
LdrResRelease;code;ntdll.dll;_LdrResRelease@12
LdrResSearchResource;code;ntdll.dll;_LdrResSearchResource@32
LdrResolveDelayLoadedAPI;code;ntdll.dll;_LdrResolveDelayLoadedAPI@24
LdrResolveDelayLoadsFromDll;code;ntdll.dll;_LdrResolveDelayLoadsFromDll@12
LdrSetAppCompatDllRedirectionCallback;code;ntdll.dll;_LdrSetAppCompatDllRedirectionCallback@12
LdrSetDefaultDllDirectories;code;ntdll.dll;_LdrSetDefaultDllDirectories@4
LdrSetDllDirectory;code;ntdll.dll;_LdrSetDllDirectory@4
LdrSetDllManifestProber;code;ntdll.dll;_LdrSetDllManifestProber@12
LdrSetMUICacheType;code;ntdll.dll;_LdrSetMUICacheType@4
LdrShutdownProcess;code;ntdll.dll;_LdrShutdownProcess@0
LdrShutdownThread;code;ntdll.dll;_LdrShutdownThread@0
LdrSystemDllInitBlock;data;ntdll.dll;_LdrSystemDllInitBlock
LdrUnloadAlternateResourceModule;code;ntdll.dll;_LdrUnloadAlternateResourceModule@4
LdrUnloadAlternateResourceModuleEx;code;ntdll.dll;_LdrUnloadAlternateResourceModuleEx@8
LdrUnloadDll;code;ntdll.dll;_LdrUnloadDll@4
LdrUnlockLoaderLock;code;ntdll.dll;_LdrUnlockLoaderLock@8
LdrVerifyImageMatchesChecksum;code;ntdll.dll;_LdrVerifyImageMatchesChecksum@16
LdrVerifyImageMatchesChecksumEx;code;ntdll.dll;_LdrVerifyImageMatchesChecksumEx@8
LdrpResGetMappingSize;code;ntdll.dll;_LdrpResGetMappingSize@16
LdrpResGetResourceDirectory;code;ntdll.dll;_LdrpResGetResourceDirectory@20
NlsAnsiCodePage;const;ntdll.dll;_NlsAnsiCodePage
NlsMbCodePageTag;const;ntdll.dll;_NlsMbCodePageTag
NlsMbOemCodePageTag;const;ntdll.dll;_NlsMbOemCodePageTag
NtAcceptConnectPort;code;ntdll.dll;_NtAcceptConnectPort@24
NtAccessCheck;code;ntdll.dll;_NtAccessCheck@32
NtAccessCheckAndAuditAlarm;code;ntdll.dll;_NtAccessCheckAndAuditAlarm@44
NtAccessCheckByType;code;ntdll.dll;_NtAccessCheckByType@44
NtAccessCheckByTypeAndAuditAlarm;code;ntdll.dll;_NtAccessCheckByTypeAndAuditAlarm@64
NtAccessCheckByTypeResultList;code;ntdll.dll;_NtAccessCheckByTypeResultList@44
NtAccessCheckByTypeResultListAndAuditAlarm;code;ntdll.dll;_NtAccessCheckByTypeResultListAndAuditAlarm@64
NtAccessCheckByTypeResultListAndAuditAlarmByHandle;code;ntdll.dll;_NtAccessCheckByTypeResultListAndAuditAlarmByHandle@68
NtAddAtom;code;ntdll.dll;_NtAddAtom@12
NtAddAtomEx;code;ntdll.dll;_NtAddAtomEx@16
NtAddBootEntry;code;ntdll.dll;_NtAddBootEntry@8
NtAddDriverEntry;code;ntdll.dll;_NtAddDriverEntry@8
NtAdjustGroupsToken;code;ntdll.dll;_NtAdjustGroupsToken@24
NtAdjustPrivilegesToken;code;ntdll.dll;_NtAdjustPrivilegesToken@24
NtAdjustTokenClaimsAndDeviceGroups;code;ntdll.dll;_NtAdjustTokenClaimsAndDeviceGroups@64
NtAlertResumeThread;code;ntdll.dll;_NtAlertResumeThread@8
NtAlertThread;code;ntdll.dll;_NtAlertThread@4
NtAlertThreadByThreadId;code;ntdll.dll;_NtAlertThreadByThreadId@4
NtAllocateLocallyUniqueId;code;ntdll.dll;_NtAllocateLocallyUniqueId@4
NtAllocateReserveObject;code;ntdll.dll;_NtAllocateReserveObject@12
NtAllocateUserPhysicalPages;code;ntdll.dll;_NtAllocateUserPhysicalPages@12
NtAllocateUuids;code;ntdll.dll;_NtAllocateUuids@16
NtAllocateVirtualMemory;code;ntdll.dll;_NtAllocateVirtualMemory@24
NtAlpcAcceptConnectPort;code;ntdll.dll;_NtAlpcAcceptConnectPort@36
NtAlpcCancelMessage;code;ntdll.dll;_NtAlpcCancelMessage@12
NtAlpcConnectPort;code;ntdll.dll;_NtAlpcConnectPort@44
NtAlpcConnectPortEx;code;ntdll.dll;_NtAlpcConnectPortEx@44
NtAlpcCreatePort;code;ntdll.dll;_NtAlpcCreatePort@12
NtAlpcCreatePortSection;code;ntdll.dll;_NtAlpcCreatePortSection@24
NtAlpcCreateResourceReserve;code;ntdll.dll;_NtAlpcCreateResourceReserve@16
NtAlpcCreateSectionView;code;ntdll.dll;_NtAlpcCreateSectionView@12
NtAlpcCreateSecurityContext;code;ntdll.dll;_NtAlpcCreateSecurityContext@12
NtAlpcDeletePortSection;code;ntdll.dll;_NtAlpcDeletePortSection@12
NtAlpcDeleteResourceReserve;code;ntdll.dll;_NtAlpcDeleteResourceReserve@12
NtAlpcDeleteSectionView;code;ntdll.dll;_NtAlpcDeleteSectionView@12
NtAlpcDeleteSecurityContext;code;ntdll.dll;_NtAlpcDeleteSecurityContext@12
NtAlpcDisconnectPort;code;ntdll.dll;_NtAlpcDisconnectPort@8
NtAlpcImpersonateClientContainerOfPort;code;ntdll.dll;_NtAlpcImpersonateClientContainerOfPort@12
NtAlpcImpersonateClientOfPort;code;ntdll.dll;_NtAlpcImpersonateClientOfPort@12
NtAlpcOpenSenderProcess;code;ntdll.dll;_NtAlpcOpenSenderProcess@24
NtAlpcOpenSenderThread;code;ntdll.dll;_NtAlpcOpenSenderThread@24
NtAlpcQueryInformation;code;ntdll.dll;_NtAlpcQueryInformation@20
NtAlpcQueryInformationMessage;code;ntdll.dll;_NtAlpcQueryInformationMessage@24
NtAlpcRevokeSecurityContext;code;ntdll.dll;_NtAlpcRevokeSecurityContext@12
NtAlpcSendWaitReceivePort;code;ntdll.dll;_NtAlpcSendWaitReceivePort@32
NtAlpcSetInformation;code;ntdll.dll;_NtAlpcSetInformation@16
NtApphelpCacheControl;code;ntdll.dll;_NtApphelpCacheControl@8
NtAreMappedFilesTheSame;code;ntdll.dll;_NtAreMappedFilesTheSame@8
NtAssignProcessToJobObject;code;ntdll.dll;_NtAssignProcessToJobObject@8
NtAssociateWaitCompletionPacket;code;ntdll.dll;_NtAssociateWaitCompletionPacket@32
NtCallbackReturn;code;ntdll.dll;_NtCallbackReturn@12
NtCancelIoFile;code;ntdll.dll;_NtCancelIoFile@8
NtCancelIoFileEx;code;ntdll.dll;_NtCancelIoFileEx@12
