Name;Type;DLL;SymbolOrOrdinal
DoLogUnhandledError;code;NTDSA.dll;@DoLogUnhandledError@12
AppendRDN;code;NTDSA.dll;_AppendRDN@24
AttrTypeToKey;code;NTDSA.dll;_AttrTypeToKey@8
ConvertReplicaLinkToNative;code;NTDSA.dll;_ConvertReplicaLinkToNative@8
CountNameParts;code;NTDSA.dll;_CountNameParts@8
CrackSingleName;code;NTDSA.dll;_CrackSingleName@36
DBDsReplBackupUpdate;code;NTDSA.dll;_DBDsReplBackupUpdate@24
DBUpdateBackupTimeStamps;code;NTDSA.dll;_DBUpdateBackupTimeStamps@0
DNSHostNameValueCheckForNetlogon;code;NTDSA.dll;_DNSHostNameValueCheckForNetlogon@8
DSInstanceCompare;code;NTDSA.dll;_DSInstanceCompare@8
DSInstanceFromNTDSAddrEx;code;NTDSA.dll;_DSInstanceFromNTDSAddrEx@8
DSInstanceFromNameEx;code;NTDSA.dll;_DSInstanceFromNameEx@8
DSInstanceFromSetupEx;code;NTDSA.dll;_DSInstanceFromSetupEx@12
DSNAMEToHashKeyExternal;code;NTDSA.dll;_DSNAMEToHashKeyExternal@4
DSNAMEToMappedStrExternal;code;NTDSA.dll;_DSNAMEToMappedStrExternal@4
DSStrToHashKeyExternal;code;NTDSA.dll;_DSStrToHashKeyExternal@8
DSStrToMappedStrExternal;code;NTDSA.dll;_DSStrToMappedStrExternal@8
DbgPrintErrorInfo;code;NTDSA.dll;_DbgPrintErrorInfo@0
DebPrintV;code;NTDSA.dll;_DebPrintV@20
DebugTest;code;NTDSA.dll;_DebugTest@8
DirAddEntry;code;NTDSA.dll;_DirAddEntry@8
DirBind;code;NTDSA.dll;_DirBind@8
DirCompare;code;NTDSA.dll;_DirCompare@8
DirErrorToNtStatus;code;NTDSA.dll;_DirErrorToNtStatus@8
DirErrorToWinError;code;NTDSA.dll;_DirErrorToWinError@8
DirFindEntry;code;NTDSA.dll;_DirFindEntry@8
DirGetDomainHandle;code;NTDSA.dll;_DirGetDomainHandle@4
DirModifyDN;code;NTDSA.dll;_DirModifyDN@8
DirModifyEntry;code;NTDSA.dll;_DirModifyEntry@8
DirNotifyRegister;code;NTDSA.dll;_DirNotifyRegister@12
DirNotifyUnRegister;code;NTDSA.dll;_DirNotifyUnRegister@8
DirOperationControl;code;NTDSA.dll;_DirOperationControl@8
DirPrepareForImpersonate;code;NTDSA.dll;_DirPrepareForImpersonate@12
DirProtectEntry;code;NTDSA.dll;_DirProtectEntry@4
DirRead;code;NTDSA.dll;_DirRead@8
DirRemoveEntry;code;NTDSA.dll;_DirRemoveEntry@8
DirReplicaAdd;code;NTDSA.dll;_DirReplicaAdd@28
DirReplicaDelete;code;NTDSA.dll;_DirReplicaDelete@12
DirReplicaDemote;code;NTDSA.dll;_DirReplicaDemote@16
DirReplicaGetDemoteTarget;code;NTDSA.dll;_DirReplicaGetDemoteTarget@16
DirReplicaModify;code;NTDSA.dll;_DirReplicaModify@32
DirReplicaReferenceUpdate;code;NTDSA.dll;_DirReplicaReferenceUpdate@16
