Name;Type;DLL;SymbolOrOrdinal
ClearPropVariantArray;code;PROPSYS.dll;_ClearPropVariantArray@8
ClearVariantArray;code;PROPSYS.dll;_ClearVariantArray@8
_GetProxyDllInfo@8;code;PROPSYS.dll;3
InitPropVariantFromBooleanVector;code;PROPSYS.dll;_InitPropVariantFromBooleanVector@12
InitPropVariantFromBuffer;code;PROPSYS.dll;_InitPropVariantFromBuffer@12
InitPropVariantFromCLSID;code;PROPSYS.dll;_InitPropVariantFromCLSID@8
InitPropVariantFromDoubleVector;code;PROPSYS.dll;_InitPropVariantFromDoubleVector@12
InitPropVariantFromFileTime;code;PROPSYS.dll;_InitPropVariantFromFileTime@8
InitPropVariantFromFileTimeVector;code;PROPSYS.dll;_InitPropVariantFromFileTimeVector@12
InitPropVariantFromGUIDAsString;code;PROPSYS.dll;_InitPropVariantFromGUIDAsString@8
InitPropVariantFromInt16Vector;code;PROPSYS.dll;_InitPropVariantFromInt16Vector@12
InitPropVariantFromInt32Vector;code;PROPSYS.dll;_InitPropVariantFromInt32Vector@12
InitPropVariantFromInt64Vector;code;PROPSYS.dll;_InitPropVariantFromInt64Vector@12
InitPropVariantFromPropVariantVectorElem;code;PROPSYS.dll;_InitPropVariantFromPropVariantVectorElem@12
InitPropVariantFromResource;code;PROPSYS.dll;_InitPropVariantFromResource@12
InitPropVariantFromStrRet;code;PROPSYS.dll;_InitPropVariantFromStrRet@12
InitPropVariantFromStringAsVector;code;PROPSYS.dll;_InitPropVariantFromStringAsVector@8
InitPropVariantFromStringVector;code;PROPSYS.dll;_InitPropVariantFromStringVector@12
InitPropVariantFromUInt16Vector;code;PROPSYS.dll;_InitPropVariantFromUInt16Vector@12
InitPropVariantFromUInt32Vector;code;PROPSYS.dll;_InitPropVariantFromUInt32Vector@12
InitPropVariantFromUInt64Vector;code;PROPSYS.dll;_InitPropVariantFromUInt64Vector@12
InitPropVariantVectorFromPropVariant;code;PROPSYS.dll;_InitPropVariantVectorFromPropVariant@8
InitVariantFromBooleanArray;code;PROPSYS.dll;_InitVariantFromBooleanArray@12
InitVariantFromBuffer;code;PROPSYS.dll;_InitVariantFromBuffer@12
InitVariantFromDoubleArray;code;PROPSYS.dll;_InitVariantFromDoubleArray@12
InitVariantFromFileTime;code;PROPSYS.dll;_InitVariantFromFileTime@8
InitVariantFromFileTimeArray;code;PROPSYS.dll;_InitVariantFromFileTimeArray@12
InitVariantFromGUIDAsString;code;PROPSYS.dll;_InitVariantFromGUIDAsString@8
InitVariantFromInt16Array;code;PROPSYS.dll;_InitVariantFromInt16Array@12
InitVariantFromInt32Array;code;PROPSYS.dll;_InitVariantFromInt32Array@12
InitVariantFromInt64Array;code;PROPSYS.dll;_InitVariantFromInt64Array@12
InitVariantFromResource;code;PROPSYS.dll;_InitVariantFromResource@12
InitVariantFromStrRet;code;PROPSYS.dll;_InitVariantFromStrRet@12
InitVariantFromStringArray;code;PROPSYS.dll;_InitVariantFromStringArray@12
InitVariantFromUInt16Array;code;PROPSYS.dll;_InitVariantFromUInt16Array@12
InitVariantFromUInt32Array;code;PROPSYS.dll;_InitVariantFromUInt32Array@12
InitVariantFromUInt64Array;code;PROPSYS.dll;_InitVariantFromUInt64Array@12
InitVariantFromVariantArrayElem;code;PROPSYS.dll;_InitVariantFromVariantArrayElem@12
PSCoerceToCanonicalValue;code;PROPSYS.dll;_PSCoerceToCanonicalValue@8
PSCreateAdapterFromPropertyStore;code;PROPSYS.dll;_PSCreateAdapterFromPropertyStore@12
PSCreateDelayedMultiplexPropertyStore;code;PROPSYS.dll;_PSCreateDelayedMultiplexPropertyStore@24
PSCreateMemoryPropertyStore;code;PROPSYS.dll;_PSCreateMemoryPropertyStore@8
PSCreateMultiplexPropertyStore;code;PROPSYS.dll;_PSCreateMultiplexPropertyStore@16
PSCreatePropertyChangeArray;code;PROPSYS.dll;_PSCreatePropertyChangeArray@24
PSCreatePropertyStoreFromObject;code;PROPSYS.dll;_PSCreatePropertyStoreFromObject@16
PSCreatePropertyStoreFromPropertySetStorage;code;PROPSYS.dll;_PSCreatePropertyStoreFromPropertySetStorage@16
PSCreateSimplePropertyChange;code;PROPSYS.dll;_PSCreateSimplePropertyChange@20
PSEnumeratePropertyDescriptions;code;PROPSYS.dll;_PSEnumeratePropertyDescriptions@12
PSFormatForDisplay;code;PROPSYS.dll;_PSFormatForDisplay@20
PSFormatForDisplayAlloc;code;PROPSYS.dll;_PSFormatForDisplayAlloc@16
PSFormatPropertyValue;code;PROPSYS.dll;_PSFormatPropertyValue@16
PSGetImageReferenceForValue;code;PROPSYS.dll;_PSGetImageReferenceForValue@12
PSGetItemPropertyHandler;code;PROPSYS.dll;_PSGetItemPropertyHandler@16
PSGetItemPropertyHandlerWithCreateObject;code;PROPSYS.dll;_PSGetItemPropertyHandlerWithCreateObject@20
PSGetNameFromPropertyKey;code;PROPSYS.dll;_PSGetNameFromPropertyKey@8
PSGetNamedPropertyFromPropertyStorage;code;PROPSYS.dll;_PSGetNamedPropertyFromPropertyStorage@16
PSGetPropertyDescription;code;PROPSYS.dll;_PSGetPropertyDescription@12
PSGetPropertyDescriptionByName;code;PROPSYS.dll;_PSGetPropertyDescriptionByName@12
PSGetPropertyDescriptionListFromString;code;PROPSYS.dll;_PSGetPropertyDescriptionListFromString@12
PSGetPropertyFromPropertyStorage;code;PROPSYS.dll;_PSGetPropertyFromPropertyStorage@16
PSGetPropertyKeyFromName;code;PROPSYS.dll;_PSGetPropertyKeyFromName@8
PSGetPropertySystem;code;PROPSYS.dll;_PSGetPropertySystem@8
PSGetPropertyValue;code;PROPSYS.dll;_PSGetPropertyValue@12
PSLookupPropertyHandlerCLSID;code;PROPSYS.dll;_PSLookupPropertyHandlerCLSID@8
PSPropertyBag_Delete;code;PROPSYS.dll;_PSPropertyBag_Delete@8
PSPropertyBag_ReadBOOL;code;PROPSYS.dll;_PSPropertyBag_ReadBOOL@12
PSPropertyBag_ReadBSTR;code;PROPSYS.dll;_PSPropertyBag_ReadBSTR@12
PSPropertyBag_ReadDWORD;code;PROPSYS.dll;_PSPropertyBag_ReadDWORD@12
PSPropertyBag_ReadGUID;code;PROPSYS.dll;_PSPropertyBag_ReadGUID@12
PSPropertyBag_ReadInt;code;PROPSYS.dll;_PSPropertyBag_ReadInt@12
PSPropertyBag_ReadLONG;code;PROPSYS.dll;_PSPropertyBag_ReadLONG@12
PSPropertyBag_ReadPOINTL;code;PROPSYS.dll;_PSPropertyBag_ReadPOINTL@12
PSPropertyBag_ReadPOINTS;code;PROPSYS.dll;_PSPropertyBag_ReadPOINTS@12
PSPropertyBag_ReadPropertyKey;code;PROPSYS.dll;_PSPropertyBag_ReadPropertyKey@12
PSPropertyBag_ReadRECTL;code;PROPSYS.dll;_PSPropertyBag_ReadRECTL@12
PSPropertyBag_ReadSHORT;code;PROPSYS.dll;_PSPropertyBag_ReadSHORT@12
PSPropertyBag_ReadStr;code;PROPSYS.dll;_PSPropertyBag_ReadStr@16
PSPropertyBag_ReadStrAlloc;code;PROPSYS.dll;_PSPropertyBag_ReadStrAlloc@12
PSPropertyBag_ReadStream;code;PROPSYS.dll;_PSPropertyBag_ReadStream@12
PSPropertyBag_ReadType;code;PROPSYS.dll;_PSPropertyBag_ReadType@16
PSPropertyBag_ReadULONGLONG;code;PROPSYS.dll;_PSPropertyBag_ReadULONGLONG@12
PSPropertyBag_ReadUnknown;code;PROPSYS.dll;_PSPropertyBag_ReadUnknown@16
PSPropertyBag_WriteBOOL;code;PROPSYS.dll;_PSPropertyBag_WriteBOOL@12
PSPropertyBag_WriteBSTR;code;PROPSYS.dll;_PSPropertyBag_WriteBSTR@12
PSPropertyBag_WriteDWORD;code;PROPSYS.dll;_PSPropertyBag_WriteDWORD@12
PSPropertyBag_WriteGUID;code;PROPSYS.dll;_PSPropertyBag_WriteGUID@12
PSPropertyBag_WriteInt;code;PROPSYS.dll;_PSPropertyBag_WriteInt@12
PSPropertyBag_WriteLONG;code;PROPSYS.dll;_PSPropertyBag_WriteLONG@12
PSPropertyBag_WritePOINTL;code;PROPSYS.dll;_PSPropertyBag_WritePOINTL@12
PSPropertyBag_WritePOINTS;code;PROPSYS.dll;_PSPropertyBag_WritePOINTS@12
PSPropertyBag_WritePropertyKey;code;PROPSYS.dll;_PSPropertyBag_WritePropertyKey@12
PSPropertyBag_WriteRECTL;code;PROPSYS.dll;_PSPropertyBag_WriteRECTL@12
PSPropertyBag_WriteSHORT;code;PROPSYS.dll;_PSPropertyBag_WriteSHORT@12
PSPropertyBag_WriteStr;code;PROPSYS.dll;_PSPropertyBag_WriteStr@12
PSPropertyBag_WriteStream;code;PROPSYS.dll;_PSPropertyBag_WriteStream@12
PSPropertyBag_WriteULONGLONG;code;PROPSYS.dll;_PSPropertyBag_WriteULONGLONG@16
PSPropertyBag_WriteUnknown;code;PROPSYS.dll;_PSPropertyBag_WriteUnknown@12
PSPropertyKeyFromString;code;PROPSYS.dll;_PSPropertyKeyFromString@8
PSRefreshPropertySchema;code;PROPSYS.dll;_PSRefreshPropertySchema@0
PSRegisterPropertySchema;code;PROPSYS.dll;_PSRegisterPropertySchema@4
PSSetPropertyValue;code;PROPSYS.dll;_PSSetPropertyValue@12
PSStringFromPropertyKey;code;PROPSYS.dll;_PSStringFromPropertyKey@12
PSUnregisterPropertySchema;code;PROPSYS.dll;_PSUnregisterPropertySchema@4
PropVariantChangeType;code;PROPSYS.dll;_PropVariantChangeType@16
PropVariantCompareEx;code;PROPSYS.dll;_PropVariantCompareEx@16
PropVariantGetBooleanElem;code;PROPSYS.dll;_PropVariantGetBooleanElem@12
