Name;Type;DLL;SymbolOrOrdinal
AssocCreateForClasses;code;SHELL32.dll;_AssocCreateForClasses@16
AssocGetDetailsOfPropKey;code;SHELL32.dll;_AssocGetDetailsOfPropKey@20
_CDefFolderMenu_Create2@36;code;SHELL32.dll;701
_CIDLData_CreateFromIDArray@16;code;SHELL32.dll;83
CheckEscapesW;code;SHELL32.dll;_CheckEscapesW@8
CommandLineToArgvW;code;SHELL32.dll;_CommandLineToArgvW@8
_DAD_AutoScroll@12;code;SHELL32.dll;129
_DAD_DragEnterEx2@16;code;SHELL32.dll;22
_DAD_DragEnterEx@12;code;SHELL32.dll;131
_DAD_DragLeave@0;code;SHELL32.dll;132
_DAD_DragMove@8;code;SHELL32.dll;134
_DAD_SetDragImage@8;code;SHELL32.dll;136
_DAD_ShowDragImage@4;code;SHELL32.dll;137
DoEnvironmentSubstA;code;SHELL32.dll;_DoEnvironmentSubstA@8
DoEnvironmentSubstW;code;SHELL32.dll;_DoEnvironmentSubstW@8
DragAcceptFiles;code;SHELL32.dll;_DragAcceptFiles@8
DragFinish;code;SHELL32.dll;_DragFinish@4
DragQueryFile;code;SHELL32.dll;_DragQueryFile@16
DragQueryFileA;code;SHELL32.dll;_DragQueryFileA@16
DragQueryFileAorW;code;SHELL32.dll;_DragQueryFileAorW@24
DragQueryFileW;code;SHELL32.dll;_DragQueryFileW@16
DragQueryPoint;code;SHELL32.dll;_DragQueryPoint@8
_DriveType@4;code;SHELL32.dll;64
DuplicateIcon;code;SHELL32.dll;_DuplicateIcon@8
ExtractAssociatedIconA;code;SHELL32.dll;_ExtractAssociatedIconA@12
ExtractAssociatedIconExA;code;SHELL32.dll;_ExtractAssociatedIconExA@16
ExtractAssociatedIconExW;code;SHELL32.dll;_ExtractAssociatedIconExW@16
ExtractAssociatedIconW;code;SHELL32.dll;_ExtractAssociatedIconW@12
ExtractIconA;code;SHELL32.dll;_ExtractIconA@12
ExtractIconEx;code;SHELL32.dll;_ExtractIconEx@20
ExtractIconExA;code;SHELL32.dll;_ExtractIconExA@20
ExtractIconExW;code;SHELL32.dll;_ExtractIconExW@20
ExtractIconW;code;SHELL32.dll;_ExtractIconW@12
FindExecutableA;code;SHELL32.dll;_FindExecutableA@12
FindExecutableW;code;SHELL32.dll;_FindExecutableW@12
GetCurrentProcessExplicitAppUserModelID;code;SHELL32.dll;_GetCurrentProcessExplicitAppUserModelID@4
_GetFileNameFromBrowse@28;code;SHELL32.dll;63
_ILAppendID@12;code;SHELL32.dll;154
_ILClone@4;code;SHELL32.dll;18
_ILCloneFirst@4;code;SHELL32.dll;19
_ILCombine@8;code;SHELL32.dll;25
_ILCreateFromPath@4;code;SHELL32.dll;157
_ILCreateFromPathA@4;code;SHELL32.dll;189
_ILCreateFromPathW@4;code;SHELL32.dll;190
_ILFindChild@8;code;SHELL32.dll;24
_ILFindLastID@4;code;SHELL32.dll;16
_ILFree@4;code;SHELL32.dll;155
_ILGetNext@4;code;SHELL32.dll;153
_ILGetSize@4;code;SHELL32.dll;152
_ILIsEqual@8;code;SHELL32.dll;21
_ILIsParent@12;code;SHELL32.dll;23
_ILLoadFromStreamEx@8;code;SHELL32.dll;846
_ILRemoveLastID@4;code;SHELL32.dll;17
_ILSaveToStream@8;code;SHELL32.dll;27
InitNetworkAddressControl;code;SHELL32.dll;_InitNetworkAddressControl@0
_IsLFNDrive@4;code;SHELL32.dll;119
_IsLFNDriveA@4;code;SHELL32.dll;41
_IsLFNDriveW@4;code;SHELL32.dll;42
_IsNetDrive@4;code;SHELL32.dll;66
_IsUserAnAdmin@0;code;SHELL32.dll;680
_OpenRegStream@16;code;SHELL32.dll;85
_PathCleanupSpec@8;code;SHELL32.dll;171
PathCleanupSpecWorker;code;SHELL32.dll;_PathCleanupSpecWorker@8
_PathGetShortPath@4;code;SHELL32.dll;92
_PathIsExe@4;code;SHELL32.dll;43
PathIsExeWorker;code;SHELL32.dll;_PathIsExeWorker@4
_PathIsSlowA@8;code;SHELL32.dll;240
_PathIsSlowW@8;code;SHELL32.dll;239
_PathMakeUniqueName@20;code;SHELL32.dll;47
_PathQualify@4;code;SHELL32.dll;49
_PathResolve@12;code;SHELL32.dll;51
_PathYetAnotherMakeUniqueName@16;code;SHELL32.dll;75
_PickIconDlg@16;code;SHELL32.dll;62
_PifMgr_CloseProperties@8;code;SHELL32.dll;13
_PifMgr_GetProperties@20;code;SHELL32.dll;10
_PifMgr_OpenProperties@16;code;SHELL32.dll;9
_PifMgr_SetProperties@20;code;SHELL32.dll;11
_ReadCabinetState@8;code;SHELL32.dll;654
_RealDriveType@8;code;SHELL32.dll;524
_RestartDialog@12;code;SHELL32.dll;59
_RestartDialogEx@16;code;SHELL32.dll;730
SHAddDefaultPropertiesByExt;code;SHELL32.dll;_SHAddDefaultPropertiesByExt@8
_SHAddFromPropSheetExtArray@12;code;SHELL32.dll;167
SHAddToRecentDocs;code;SHELL32.dll;_SHAddToRecentDocs@8
_SHAlloc@4;code;SHELL32.dll;196
SHAppBarMessage;code;SHELL32.dll;_SHAppBarMessage@8
SHAssocEnumHandlers;code;SHELL32.dll;_SHAssocEnumHandlers@12
SHAssocEnumHandlersForProtocolByApplication;code;SHELL32.dll;_SHAssocEnumHandlersForProtocolByApplication@12
SHBindToFolderIDListParent;code;SHELL32.dll;_SHBindToFolderIDListParent@20
SHBindToFolderIDListParentEx;code;SHELL32.dll;_SHBindToFolderIDListParentEx@24
SHBindToObject;code;SHELL32.dll;_SHBindToObject@20
SHBindToParent;code;SHELL32.dll;_SHBindToParent@16
SHBrowseForFolder;code;SHELL32.dll;_SHBrowseForFolder@4
SHBrowseForFolderA;code;SHELL32.dll;_SHBrowseForFolderA@4
SHBrowseForFolderW;code;SHELL32.dll;_SHBrowseForFolderW@4
_SHCLSIDFromString@8;code;SHELL32.dll;147
_SHChangeNotification_Lock@16;code;SHELL32.dll;644
_SHChangeNotification_Unlock@4;code;SHELL32.dll;645
SHChangeNotify;code;SHELL32.dll;_SHChangeNotify@16
_SHChangeNotifyDeregister@4;code;SHELL32.dll;4
_SHChangeNotifyRegister@24;code;SHELL32.dll;2
SHChangeNotifyRegisterThread;code;SHELL32.dll;_SHChangeNotifyRegisterThread@4
_SHCloneSpecialIDList@12;code;SHELL32.dll;89
_SHCoCreateInstance@20;code;SHELL32.dll;102
SHCoCreateInstanceWorker;code;SHELL32.dll;_SHCoCreateInstanceWorker@20
SHCreateAssociationRegistration;code;SHELL32.dll;_SHCreateAssociationRegistration@8
SHCreateDataObject;code;SHELL32.dll;_SHCreateDataObject@24
SHCreateDefaultContextMenu;code;SHELL32.dll;_SHCreateDefaultContextMenu@12
SHCreateDefaultExtractIcon;code;SHELL32.dll;_SHCreateDefaultExtractIcon@8
SHCreateDefaultPropertiesOp;code;SHELL32.dll;_SHCreateDefaultPropertiesOp@8
_SHCreateDirectory@8;code;SHELL32.dll;165
SHCreateDirectoryExA;code;SHELL32.dll;_SHCreateDirectoryExA@12
SHCreateDirectoryExW;code;SHELL32.dll;_SHCreateDirectoryExW@12
SHCreateDirectoryExWWorker;code;SHELL32.dll;_SHCreateDirectoryExWWorker@12
_SHCreateFileExtractIconW@16;code;SHELL32.dll;743
SHCreateItemFromIDList;code;SHELL32.dll;_SHCreateItemFromIDList@12
SHCreateItemFromParsingName;code;SHELL32.dll;_SHCreateItemFromParsingName@16
SHCreateItemFromRelativeName;code;SHELL32.dll;_SHCreateItemFromRelativeName@20
SHCreateItemInKnownFolder;code;SHELL32.dll;_SHCreateItemInKnownFolder@20
SHCreateItemWithParent;code;SHELL32.dll;_SHCreateItemWithParent@20
SHCreateProcessAsUserW;code;SHELL32.dll;_SHCreateProcessAsUserW@4
_SHCreatePropSheetExtArray@12;code;SHELL32.dll;168
SHCreateQueryCancelAutoPlayMoniker;code;SHELL32.dll;_SHCreateQueryCancelAutoPlayMoniker@4
_SHCreateShellFolderView@8;code;SHELL32.dll;256
_SHCreateShellFolderViewEx@8;code;SHELL32.dll;174
SHCreateShellItem;code;SHELL32.dll;_SHCreateShellItem@16
SHCreateShellItemArray;code;SHELL32.dll;_SHCreateShellItemArray@20
SHCreateShellItemArrayFromDataObject;code;SHELL32.dll;_SHCreateShellItemArrayFromDataObject@12
SHCreateShellItemArrayFromIDLists;code;SHELL32.dll;_SHCreateShellItemArrayFromIDLists@12
SHCreateShellItemArrayFromShellItem;code;SHELL32.dll;_SHCreateShellItemArrayFromShellItem@12
_SHCreateStdEnumFmtEtc@12;code;SHELL32.dll;74
_SHDefExtractIconA@24;code;SHELL32.dll;3
_SHDefExtractIconW@24;code;SHELL32.dll;6
_SHDestroyPropSheetExtArray@4;code;SHELL32.dll;169
_SHDoDragDrop@20;code;SHELL32.dll;88
SHEmptyRecycleBinA;code;SHELL32.dll;_SHEmptyRecycleBinA@12
SHEmptyRecycleBinW;code;SHELL32.dll;_SHEmptyRecycleBinW@12
SHEnumerateUnreadMailAccountsW;code;SHELL32.dll;_SHEnumerateUnreadMailAccountsW@16
SHEvaluateSystemCommandTemplate;code;SHELL32.dll;_SHEvaluateSystemCommandTemplate@16
SHFileOperation;code;SHELL32.dll;_SHFileOperation@4
SHFileOperationA;code;SHELL32.dll;_SHFileOperationA@4
SHFileOperationW;code;SHELL32.dll;_SHFileOperationW@4
_SHFindFiles@8;code;SHELL32.dll;90
_SHFind_InitMenuPopup@16;code;SHELL32.dll;149
_SHFlushSFCache@0;code;SHELL32.dll;526
SHFormatDrive;code;SHELL32.dll;_SHFormatDrive@16
_SHFree@4;code;SHELL32.dll;195
SHFreeNameMappings;code;SHELL32.dll;_SHFreeNameMappings@4
_SHGetAttributesFromDataObject@16;code;SHELL32.dll;750
SHGetDataFromIDListA;code;SHELL32.dll;_SHGetDataFromIDListA@20
SHGetDataFromIDListW;code;SHELL32.dll;_SHGetDataFromIDListW@20
SHGetDesktopFolder;code;SHELL32.dll;_SHGetDesktopFolder@4
SHGetDesktopFolderWorker;code;SHELL32.dll;_SHGetDesktopFolderWorker@4
SHGetDiskFreeSpaceA;code;SHELL32.dll;_SHGetDiskFreeSpaceA@16
SHGetDiskFreeSpaceExA;code;SHELL32.dll;_SHGetDiskFreeSpaceExA@16
SHGetDiskFreeSpaceExW;code;SHELL32.dll;_SHGetDiskFreeSpaceExW@16
SHGetDriveMedia;code;SHELL32.dll;_SHGetDriveMedia@8
SHGetFileInfo;code;SHELL32.dll;_SHGetFileInfo@20
SHGetFileInfoA;code;SHELL32.dll;_SHGetFileInfoA@20
SHGetFileInfoW;code;SHELL32.dll;_SHGetFileInfoW@20
SHGetFileInfoWWorker;code;SHELL32.dll;_SHGetFileInfoWWorker@20
SHGetFolderLocation;code;SHELL32.dll;_SHGetFolderLocation@20
SHGetFolderLocationWorker;code;SHELL32.dll;_SHGetFolderLocationWorker@20
SHGetFolderPathA;code;SHELL32.dll;_SHGetFolderPathA@20
SHGetFolderPathAWorker;code;SHELL32.dll;_SHGetFolderPathAWorker@20
SHGetFolderPathAndSubDirA;code;SHELL32.dll;_SHGetFolderPathAndSubDirA@24
SHGetFolderPathAndSubDirW;code;SHELL32.dll;_SHGetFolderPathAndSubDirW@24
SHGetFolderPathAndSubDirWWorker;code;SHELL32.dll;_SHGetFolderPathAndSubDirWWorker@24
SHGetFolderPathEx;code;SHELL32.dll;_SHGetFolderPathEx@20
SHGetFolderPathW;code;SHELL32.dll;_SHGetFolderPathW@20
SHGetFolderPathWWorker;code;SHELL32.dll;_SHGetFolderPathWWorker@20
SHGetIDListFromObject;code;SHELL32.dll;_SHGetIDListFromObject@8
SHGetIconOverlayIndexA;code;SHELL32.dll;_SHGetIconOverlayIndexA@8
SHGetIconOverlayIndexW;code;SHELL32.dll;_SHGetIconOverlayIndexW@8
_SHGetImageList@12;code;SHELL32.dll;727
SHGetInstanceExplorer;code;SHELL32.dll;_SHGetInstanceExplorer@4
SHGetInstanceExplorerWorker;code;SHELL32.dll;_SHGetInstanceExplorerWorker@4
SHGetItemFromDataObject;code;SHELL32.dll;_SHGetItemFromDataObject@16
SHGetItemFromObject;code;SHELL32.dll;_SHGetItemFromObject@12
SHGetKnownFolderIDList;code;SHELL32.dll;_SHGetKnownFolderIDList@16
SHGetKnownFolderItem;code;SHELL32.dll;_SHGetKnownFolderItem@20
SHGetKnownFolderPath;code;SHELL32.dll;_SHGetKnownFolderPath@16
SHGetKnownFolderPathWorker;code;SHELL32.dll;_SHGetKnownFolderPathWorker@16
SHGetLocalizedName;code;SHELL32.dll;_SHGetLocalizedName@16
SHGetMalloc;code;SHELL32.dll;_SHGetMalloc@4
SHGetNameFromIDList;code;SHELL32.dll;_SHGetNameFromIDList@12
_SHGetNewLinkInfoA@20;code;SHELL32.dll;179
_SHGetNewLinkInfoW@20;code;SHELL32.dll;180
SHGetPathFromIDList;code;SHELL32.dll;_SHGetPathFromIDList@8
SHGetPathFromIDListA;code;SHELL32.dll;_SHGetPathFromIDListA@8
SHGetPathFromIDListEx;code;SHELL32.dll;_SHGetPathFromIDListEx@16
SHGetPathFromIDListW;code;SHELL32.dll;_SHGetPathFromIDListW@8
SHGetPropertyStoreForWindow;code;SHELL32.dll;_SHGetPropertyStoreForWindow@12
SHGetPropertyStoreFromIDList;code;SHELL32.dll;_SHGetPropertyStoreFromIDList@16
SHGetPropertyStoreFromParsingName;code;SHELL32.dll;_SHGetPropertyStoreFromParsingName@20
_SHGetRealIDL@12;code;SHELL32.dll;98
_SHGetSetFolderCustomSettings@12;code;SHELL32.dll;709
_SHGetSetSettings@12;code;SHELL32.dll;68
SHGetSettings;code;SHELL32.dll;_SHGetSettings@8
SHGetSpecialFolderLocation;code;SHELL32.dll;_SHGetSpecialFolderLocation@12
_SHGetSpecialFolderPath@16;code;SHELL32.dll;175
SHGetSpecialFolderPathA;code;SHELL32.dll;_SHGetSpecialFolderPathA@16
SHGetSpecialFolderPathAWorker;code;SHELL32.dll;_SHGetSpecialFolderPathAWorker@16
SHGetSpecialFolderPathW;code;SHELL32.dll;_SHGetSpecialFolderPathW@16
SHGetSpecialFolderPathWWorker;code;SHELL32.dll;_SHGetSpecialFolderPathWWorker@16
SHGetStockIconInfo;code;SHELL32.dll;_SHGetStockIconInfo@12
SHGetTemporaryPropertyForItem;code;SHELL32.dll;_SHGetTemporaryPropertyForItem@12
SHGetUnreadMailCountW;code;SHELL32.dll;_SHGetUnreadMailCountW@24
_SHHandleUpdateImage@4;code;SHELL32.dll;193
_SHILCreateFromPath@12;code;SHELL32.dll;28
SHInvokePrinterCommandA;code;SHELL32.dll;_SHInvokePrinterCommandA@20
SHInvokePrinterCommandW;code;SHELL32.dll;_SHInvokePrinterCommandW@20
SHIsFileAvailableOffline;code;SHELL32.dll;_SHIsFileAvailableOffline@8
_SHLimitInputEdit@8;code;SHELL32.dll;747
SHLoadInProc;code;SHELL32.dll;_SHLoadInProc@4
SHLoadNonloadedIconOverlayIdentifiers;code;SHELL32.dll;_SHLoadNonloadedIconOverlayIdentifiers@0
_SHMapPIDLToSystemImageListIndex@12;code;SHELL32.dll;77
_SHMultiFileProperties@8;code;SHELL32.dll;716
_SHObjectProperties@16;code;SHELL32.dll;178
SHOpenFolderAndSelectItems;code;SHELL32.dll;_SHOpenFolderAndSelectItems@16
_SHOpenPropSheetW@28;code;SHELL32.dll;80
SHOpenWithDialog;code;SHELL32.dll;_SHOpenWithDialog@8
SHParseDisplayName;code;SHELL32.dll;_SHParseDisplayName@20
SHPathPrepareForWriteA;code;SHELL32.dll;_SHPathPrepareForWriteA@16
SHPathPrepareForWriteW;code;SHELL32.dll;_SHPathPrepareForWriteW@16
_SHPropStgCreate@32;code;SHELL32.dll;685
_SHPropStgReadMultiple@20;code;SHELL32.dll;688
_SHPropStgWriteMultiple@24;code;SHELL32.dll;689
SHQueryRecycleBinA;code;SHELL32.dll;_SHQueryRecycleBinA@8
SHQueryRecycleBinW;code;SHELL32.dll;_SHQueryRecycleBinW@8
SHQueryUserNotificationState;code;SHELL32.dll;_SHQueryUserNotificationState@4
SHRemoveLocalizedName;code;SHELL32.dll;_SHRemoveLocalizedName@4
_SHReplaceFromPropSheetExtArray@16;code;SHELL32.dll;170
SHResolveLibrary;code;SHELL32.dll;_SHResolveLibrary@4
_SHRestricted@4;code;SHELL32.dll;100
SHSetDefaultProperties;code;SHELL32.dll;_SHSetDefaultProperties@16
_SHSetFolderPathA@16;code;SHELL32.dll;231
_SHSetFolderPathW@16;code;SHELL32.dll;232
_SHSetInstanceExplorer@4;code;SHELL32.dll;176
SHSetKnownFolderPath;code;SHELL32.dll;_SHSetKnownFolderPath@16
SHSetKnownFolderPathWorker;code;SHELL32.dll;_SHSetKnownFolderPathWorker@16
SHSetLocalizedName;code;SHELL32.dll;_SHSetLocalizedName@12
SHSetTemporaryPropertyForItem;code;SHELL32.dll;_SHSetTemporaryPropertyForItem@12
SHSetUnreadMailCountW;code;SHELL32.dll;_SHSetUnreadMailCountW@12
_SHShellFolderView_Message@12;code;SHELL32.dll;73
SHShowManageLibraryUI;code;SHELL32.dll;_SHShowManageLibraryUI@20
_SHSimpleIDListFromPath@4;code;SHELL32.dll;162
_SHStartNetConnectionDialogW@12;code;SHELL32.dll;14
_SHTestTokenMembership@8;code;SHELL32.dll;245
_SHUpdateImageA@16;code;SHELL32.dll;191
_SHUpdateImageW@16;code;SHELL32.dll;192
_SHValidateUNC@12;code;SHELL32.dll;173
SetCurrentProcessExplicitAppUserModelID;code;SHELL32.dll;_SetCurrentProcessExplicitAppUserModelID@4
ShellAboutA;code;SHELL32.dll;_ShellAboutA@16
ShellAboutW;code;SHELL32.dll;_ShellAboutW@16
ShellExecuteA;code;SHELL32.dll;_ShellExecuteA@24
ShellExecuteEx;code;SHELL32.dll;_ShellExecuteEx@4
ShellExecuteExA;code;SHELL32.dll;_ShellExecuteExA@4
ShellExecuteExW;code;SHELL32.dll;_ShellExecuteExW@4
ShellExecuteW;code;SHELL32.dll;_ShellExecuteW@24
ShellHookProc;code;SHELL32.dll;_ShellHookProc@12
_Shell_GetCachedImageIndex@12;code;SHELL32.dll;72
Shell_GetCachedImageIndexA;code;SHELL32.dll;_Shell_GetCachedImageIndexA@12
Shell_GetCachedImageIndexW;code;SHELL32.dll;_Shell_GetCachedImageIndexW@12
_Shell_GetImageLists@8;code;SHELL32.dll;71
_Shell_MergeMenus@24;code;SHELL32.dll;67
Shell_NotifyIcon;code;SHELL32.dll;_Shell_NotifyIcon@8
Shell_NotifyIconA;code;SHELL32.dll;_Shell_NotifyIconA@8
Shell_NotifyIconGetRect;code;SHELL32.dll;_Shell_NotifyIconGetRect@8
Shell_NotifyIconW;code;SHELL32.dll;_Shell_NotifyIconW@8
_SignalFileOpen@4;code;SHELL32.dll;103
_StgMakeUniqueName@20;code;SHELL32.dll;682
WOWShellExecute;code;SHELL32.dll;_WOWShellExecute@28
_Win32DeleteFile@4;code;SHELL32.dll;164
_WriteCabinetState@4;code;SHELL32.dll;652
