Name;Type;DLL;SymbolOrOrdinal
TdhAggregatePayloadFilters;code;tdh.dll;_TdhAggregatePayloadFilters@16
TdhCleanupPayloadEventFilterDescriptor;code;tdh.dll;_TdhCleanupPayloadEventFilterDescriptor@4
TdhCloseDecodingHandle;code;tdh.dll;_TdhCloseDecodingHandle@4
TdhCreatePayloadFilter;code;tdh.dll;_TdhCreatePayloadFilter@24
TdhDeletePayloadFilter;code;tdh.dll;_TdhDeletePayloadFilter@4
TdhEnumerateManifestProviderEvents;code;tdh.dll;_TdhEnumerateManifestProviderEvents@12
TdhEnumerateProviderFieldInformation;code;tdh.dll;_TdhEnumerateProviderFieldInformation@16
TdhEnumerateProviderFilters;code;tdh.dll;_TdhEnumerateProviderFilters@24
TdhEnumerateProviders;code;tdh.dll;_TdhEnumerateProviders@8
TdhEnumerateProvidersForDecodingSource;code;tdh.dll;_TdhEnumerateProvidersForDecodingSource@16
TdhFormatProperty;code;tdh.dll;_TdhFormatProperty@44
TdhGetDecodingParameter;code;tdh.dll;_TdhGetDecodingParameter@8
TdhGetEventInformation;code;tdh.dll;_TdhGetEventInformation@20
TdhGetEventMapInformation;code;tdh.dll;_TdhGetEventMapInformation@16
TdhGetManifestEventInformation;code;tdh.dll;_TdhGetManifestEventInformation@16
TdhGetProperty;code;tdh.dll;_TdhGetProperty@28
TdhGetPropertySize;code;tdh.dll;_TdhGetPropertySize@24
TdhGetWppMessage;code;tdh.dll;_TdhGetWppMessage@16
TdhGetWppProperty;code;tdh.dll;_TdhGetWppProperty@20
TdhLoadManifest;code;tdh.dll;_TdhLoadManifest@4
TdhLoadManifestFromBinary;code;tdh.dll;_TdhLoadManifestFromBinary@4
TdhLoadManifestFromMemory;code;tdh.dll;_TdhLoadManifestFromMemory@8
TdhOpenDecodingHandle;code;tdh.dll;_TdhOpenDecodingHandle@4
TdhQueryProviderFieldInformation;code;tdh.dll;_TdhQueryProviderFieldInformation@24
TdhSetDecodingParameter;code;tdh.dll;_TdhSetDecodingParameter@8
TdhUnloadManifest;code;tdh.dll;_TdhUnloadManifest@4
TdhUnloadManifestFromMemory;code;tdh.dll;_TdhUnloadManifestFromMemory@8
