Name;Type;DLL;SymbolOrOrdinal
BRUSHOBJ_hGetColorTransform;code;GDI32.dll;_BRUSHOBJ_hGetColorTransform@4
BRUSHOBJ_pvAllocRbrush;code;GDI32.dll;_BRUSHOBJ_pvAllocRbrush@8
BRUSHOBJ_pvGetRbrush;code;GDI32.dll;_BRUSHOBJ_pvGetRbrush@4
BRUSHOBJ_ulGetBrushColor;code;GDI32.dll;_BRUSHOBJ_ulGetBrushColor@4
CLIPOBJ_bEnum;code;GDI32.dll;_CLIPOBJ_bEnum@12
CLIPOBJ_cEnumStart;code;GDI32.dll;_CLIPOBJ_cEnumStart@20
CLIPOBJ_ppoGetPath;code;GDI32.dll;_CLIPOBJ_ppoGetPath@4
EngAcquireSemaphore;code;GDI32.dll;_EngAcquireSemaphore@4
EngAlphaBlend;code;GDI32.dll;_EngAlphaBlend@28
EngAssociateSurface;code;GDI32.dll;_EngAssociateSurface@12
EngBitBlt;code;GDI32.dll;_EngBitBlt@44
EngCheckAbort;code;GDI32.dll;_EngCheckAbort@4
EngComputeGlyphSet;code;GDI32.dll;_EngComputeGlyphSet@12
EngCopyBits;code;GDI32.dll;_EngCopyBits@24
EngCreateBitmap;code;GDI32.dll;_EngCreateBitmap@24
EngCreateClip;code;GDI32.dll;_EngCreateClip@0
EngCreateDeviceBitmap;code;GDI32.dll;_EngCreateDeviceBitmap@16
EngCreateDeviceSurface;code;GDI32.dll;_EngCreateDeviceSurface@16
EngCreatePalette;code;GDI32.dll;_EngCreatePalette@24
EngCreateSemaphore;code;GDI32.dll;_EngCreateSemaphore@0
EngDeleteClip;code;GDI32.dll;_EngDeleteClip@4
EngDeletePalette;code;GDI32.dll;_EngDeletePalette@4
EngDeletePath;code;GDI32.dll;_EngDeletePath@4
EngDeleteSemaphore;code;GDI32.dll;_EngDeleteSemaphore@4
EngDeleteSurface;code;GDI32.dll;_EngDeleteSurface@4
EngEraseSurface;code;GDI32.dll;_EngEraseSurface@12
EngFillPath;code;GDI32.dll;_EngFillPath@28
EngFindResource;code;GDI32.dll;_EngFindResource@16
EngFreeModule;code;GDI32.dll;_EngFreeModule@4
EngGetCurrentCodePage;code;GDI32.dll;_EngGetCurrentCodePage@8
EngGetDriverName;code;GDI32.dll;_EngGetDriverName@4
EngGetPrinterDataFileName;code;GDI32.dll;_EngGetPrinterDataFileName@4
EngGradientFill;code;GDI32.dll;_EngGradientFill@40
EngLineTo;code;GDI32.dll;_EngLineTo@36
EngLoadModule;code;GDI32.dll;_EngLoadModule@4
EngLockSurface;code;GDI32.dll;_EngLockSurface@4
EngMarkBandingSurface;code;GDI32.dll;_EngMarkBandingSurface@4
EngMultiByteToUnicodeN;code;GDI32.dll;_EngMultiByteToUnicodeN@20
EngMultiByteToWideChar;code;GDI32.dll;_EngMultiByteToWideChar@20
EngPaint;code;GDI32.dll;_EngPaint@20
EngPlgBlt;code;GDI32.dll;_EngPlgBlt@44
EngQueryEMFInfo;code;GDI32.dll;_EngQueryEMFInfo@8
EngQueryLocalTime;code;GDI32.dll;_EngQueryLocalTime@4
EngReleaseSemaphore;code;GDI32.dll;_EngReleaseSemaphore@4
EngStretchBlt;code;GDI32.dll;_EngStretchBlt@44
EngStretchBltROP;code;GDI32.dll;_EngStretchBltROP@52
EngStrokeAndFillPath;code;GDI32.dll;_EngStrokeAndFillPath@40
EngStrokePath;code;GDI32.dll;_EngStrokePath@32
EngTextOut;code;GDI32.dll;_EngTextOut@40
EngTransparentBlt;code;GDI32.dll;_EngTransparentBlt@32
EngUnicodeToMultiByteN;code;GDI32.dll;_EngUnicodeToMultiByteN@20
EngUnlockSurface;code;GDI32.dll;_EngUnlockSurface@4
EngWideCharToMultiByte;code;GDI32.dll;_EngWideCharToMultiByte@20
FONTOBJ_cGetAllGlyphHandles;code;GDI32.dll;_FONTOBJ_cGetAllGlyphHandles@8
