Name;Type;DLL;SymbolOrOrdinal
WcmBeginIgnoreProfileList;code;wcmapi.dll;_WcmBeginIgnoreProfileList@12
WcmCancelOnDemandRequest;code;wcmapi.dll;_WcmCancelOnDemandRequest@4
WcmCloseHandle;code;wcmapi.dll;_WcmCloseHandle@8
WcmCloseOnDemandRequestHandle;code;wcmapi.dll;_WcmCloseOnDemandRequestHandle@4
WcmEndIgnoreProfileList;code;wcmapi.dll;_WcmEndIgnoreProfileList@4
WcmEnterConnectedStandby;code;wcmapi.dll;_WcmEnterConnectedStandby@0
WcmEnterNetQuiet;code;wcmapi.dll;_WcmEnterNetQuiet@0
WcmEnumInterfaces;code;wcmapi.dll;_WcmEnumInterfaces@12
WcmExitConnectedStandby;code;wcmapi.dll;_WcmExitConnectedStandby@0
WcmExitNetQuiet;code;wcmapi.dll;_WcmExitNetQuiet@0
WcmFreeMemory;code;wcmapi.dll;_WcmFreeMemory@4
WcmGetInterfaceToken;code;wcmapi.dll;_WcmGetInterfaceToken@12
WcmGetProfileList;code;wcmapi.dll;_WcmGetProfileList@8
WcmGetProfileListByPurpose;code;wcmapi.dll;_WcmGetProfileListByPurpose@8
WcmGetProfileListForInterfaceGuid;code;wcmapi.dll;_WcmGetProfileListForInterfaceGuid@8
WcmOpenHandle;code;wcmapi.dll;_WcmOpenHandle@16
WcmOpenOnDemandRequestHandle;code;wcmapi.dll;_WcmOpenOnDemandRequestHandle@24
WcmOpenOnDemandRequestHandleByWwanProfileName;code;wcmapi.dll;_WcmOpenOnDemandRequestHandleByWwanProfileName@12
WcmOrderConnection;code;wcmapi.dll;_WcmOrderConnection@12
WcmQueryOnDemandRequestStateInfo;code;wcmapi.dll;_WcmQueryOnDemandRequestStateInfo@8
WcmQueryParameter;code;wcmapi.dll;_WcmQueryParameter@28
WcmQueryProperty;code;wcmapi.dll;_WcmQueryProperty@24
WcmResetIgnoreProfileList;code;wcmapi.dll;_WcmResetIgnoreProfileList@8
WcmSetOperatorConnectionCost;code;wcmapi.dll;_WcmSetOperatorConnectionCost@12
WcmSetOperatorCycleData;code;wcmapi.dll;_WcmSetOperatorCycleData@12
WcmSetOperatorDataplanStatus;code;wcmapi.dll;_WcmSetOperatorDataplanStatus@12
WcmSetParameter;code;wcmapi.dll;_WcmSetParameter@28
WcmSetProfileList;code;wcmapi.dll;_WcmSetProfileList@16
WcmSetProperty;code;wcmapi.dll;_WcmSetProperty@24
WcmStartOnDemandRequest;code;wcmapi.dll;_WcmStartOnDemandRequest@4
