Name;Type;DLL;SymbolOrOrdinal
EvtIntSysprepCleanup;code;wevtapi.dll;?EvtIntSysprepCleanup@@YGKXZ (unsigned long __stdcall EvtIntSysprepCleanup(void))
EvtArchiveExportedLog;code;wevtapi.dll;_EvtArchiveExportedLog@16
EvtCancel;code;wevtapi.dll;_EvtCancel@4
EvtClearLog;code;wevtapi.dll;_EvtClearLog@16
EvtClose;code;wevtapi.dll;_EvtClose@4
EvtCreateBookmark;code;wevtapi.dll;_EvtCreateBookmark@4
EvtCreateRenderContext;code;wevtapi.dll;_EvtCreateRenderContext@12
EvtExportLog;code;wevtapi.dll;_EvtExportLog@20
EvtFormatMessage;code;wevtapi.dll;_EvtFormatMessage@36
EvtGetChannelConfigProperty;code;wevtapi.dll;_EvtGetChannelConfigProperty@24
EvtGetEventInfo;code;wevtapi.dll;_EvtGetEventInfo@20
EvtGetEventMetadataProperty;code;wevtapi.dll;_EvtGetEventMetadataProperty@24
EvtGetExtendedStatus;code;wevtapi.dll;_EvtGetExtendedStatus@12
EvtGetLogInfo;code;wevtapi.dll;_EvtGetLogInfo@20
EvtGetObjectArrayProperty;code;wevtapi.dll;_EvtGetObjectArrayProperty@28
EvtGetObjectArraySize;code;wevtapi.dll;_EvtGetObjectArraySize@8
EvtGetPublisherMetadataProperty;code;wevtapi.dll;_EvtGetPublisherMetadataProperty@24
EvtGetQueryInfo;code;wevtapi.dll;_EvtGetQueryInfo@20
EvtIntAssertConfig;code;wevtapi.dll;_EvtIntAssertConfig@12
EvtIntCreateBinXMLFromCustomXML;code;wevtapi.dll;_EvtIntCreateBinXMLFromCustomXML@32
EvtIntCreateLocalLogfile;code;wevtapi.dll;_EvtIntCreateLocalLogfile@8
EvtIntGetClassicLogDisplayName;code;wevtapi.dll;_EvtIntGetClassicLogDisplayName@28
EvtIntRenderResourceEventTemplate;code;wevtapi.dll;_EvtIntRenderResourceEventTemplate@32
EvtIntReportAuthzEventAndSourceAsync;code;wevtapi.dll;_EvtIntReportAuthzEventAndSourceAsync@44
EvtIntReportEventAndSourceAsync;code;wevtapi.dll;_EvtIntReportEventAndSourceAsync@44
EvtIntRetractConfig;code;wevtapi.dll;_EvtIntRetractConfig@12
EvtIntWriteXmlEventToLocalLogfile;code;wevtapi.dll;_EvtIntWriteXmlEventToLocalLogfile@12
EvtNext;code;wevtapi.dll;_EvtNext@24
EvtNextChannelPath;code;wevtapi.dll;_EvtNextChannelPath@16
EvtNextEventMetadata;code;wevtapi.dll;_EvtNextEventMetadata@8
EvtNextPublisherId;code;wevtapi.dll;_EvtNextPublisherId@16
EvtOpenChannelConfig;code;wevtapi.dll;_EvtOpenChannelConfig@12
EvtOpenChannelEnum;code;wevtapi.dll;_EvtOpenChannelEnum@8
EvtOpenEventMetadataEnum;code;wevtapi.dll;_EvtOpenEventMetadataEnum@8
EvtOpenLog;code;wevtapi.dll;_EvtOpenLog@12
EvtOpenPublisherEnum;code;wevtapi.dll;_EvtOpenPublisherEnum@8
EvtOpenPublisherMetadata;code;wevtapi.dll;_EvtOpenPublisherMetadata@20
EvtOpenSession;code;wevtapi.dll;_EvtOpenSession@16
EvtQuery;code;wevtapi.dll;_EvtQuery@16
EvtRender;code;wevtapi.dll;_EvtRender@28
EvtSaveChannelConfig;code;wevtapi.dll;_EvtSaveChannelConfig@8
EvtSeek;code;wevtapi.dll;_EvtSeek@24
EvtSetChannelConfigProperty;code;wevtapi.dll;_EvtSetChannelConfigProperty@16
EvtSubscribe;code;wevtapi.dll;_EvtSubscribe@32
EvtUpdateBookmark;code;wevtapi.dll;_EvtUpdateBookmark@8
