Name;Type;DLL;SymbolOrOrdinal
sqlite3_aggregate_context;code;winsqlite3.dll;_sqlite3_aggregate_context@8
sqlite3_aggregate_count;code;winsqlite3.dll;_sqlite3_aggregate_count@4
sqlite3_auto_extension;code;winsqlite3.dll;_sqlite3_auto_extension@4
sqlite3_backup_finish;code;winsqlite3.dll;_sqlite3_backup_finish@4
sqlite3_backup_init;code;winsqlite3.dll;_sqlite3_backup_init@16
sqlite3_backup_pagecount;code;winsqlite3.dll;_sqlite3_backup_pagecount@4
sqlite3_backup_remaining;code;winsqlite3.dll;_sqlite3_backup_remaining@4
sqlite3_backup_step;code;winsqlite3.dll;_sqlite3_backup_step@8
sqlite3_bind_blob64;code;winsqlite3.dll;_sqlite3_bind_blob64@24
sqlite3_bind_blob;code;winsqlite3.dll;_sqlite3_bind_blob@20
sqlite3_bind_double;code;winsqlite3.dll;_sqlite3_bind_double@16
sqlite3_bind_int64;code;winsqlite3.dll;_sqlite3_bind_int64@16
sqlite3_bind_int;code;winsqlite3.dll;_sqlite3_bind_int@12
sqlite3_bind_null;code;winsqlite3.dll;_sqlite3_bind_null@8
sqlite3_bind_parameter_count;code;winsqlite3.dll;_sqlite3_bind_parameter_count@4
sqlite3_bind_parameter_index;code;winsqlite3.dll;_sqlite3_bind_parameter_index@8
sqlite3_bind_parameter_name;code;winsqlite3.dll;_sqlite3_bind_parameter_name@8
sqlite3_bind_pointer;code;winsqlite3.dll;_sqlite3_bind_pointer@20
sqlite3_bind_text16;code;winsqlite3.dll;_sqlite3_bind_text16@20
sqlite3_bind_text64;code;winsqlite3.dll;_sqlite3_bind_text64@28
sqlite3_bind_text;code;winsqlite3.dll;_sqlite3_bind_text@20
sqlite3_bind_value;code;winsqlite3.dll;_sqlite3_bind_value@12
sqlite3_bind_zeroblob64;code;winsqlite3.dll;_sqlite3_bind_zeroblob64@16
sqlite3_bind_zeroblob;code;winsqlite3.dll;_sqlite3_bind_zeroblob@12
sqlite3_blob_bytes;code;winsqlite3.dll;_sqlite3_blob_bytes@4
sqlite3_blob_close;code;winsqlite3.dll;_sqlite3_blob_close@4
sqlite3_blob_open;code;winsqlite3.dll;_sqlite3_blob_open@32
sqlite3_blob_read;code;winsqlite3.dll;_sqlite3_blob_read@16
sqlite3_blob_reopen;code;winsqlite3.dll;_sqlite3_blob_reopen@12
sqlite3_blob_write;code;winsqlite3.dll;_sqlite3_blob_write@16
sqlite3_busy_handler;code;winsqlite3.dll;_sqlite3_busy_handler@12
sqlite3_busy_timeout;code;winsqlite3.dll;_sqlite3_busy_timeout@8
sqlite3_cancel_auto_extension;code;winsqlite3.dll;_sqlite3_cancel_auto_extension@4
sqlite3_changes;code;winsqlite3.dll;_sqlite3_changes@4
sqlite3_clear_bindings;code;winsqlite3.dll;_sqlite3_clear_bindings@4
sqlite3_close;code;winsqlite3.dll;_sqlite3_close@4
sqlite3_close_v2;code;winsqlite3.dll;_sqlite3_close_v2@4
sqlite3_collation_needed16;code;winsqlite3.dll;_sqlite3_collation_needed16@12
sqlite3_collation_needed;code;winsqlite3.dll;_sqlite3_collation_needed@12
sqlite3_column_blob;code;winsqlite3.dll;_sqlite3_column_blob@8
sqlite3_column_bytes16;code;winsqlite3.dll;_sqlite3_column_bytes16@8
sqlite3_column_bytes;code;winsqlite3.dll;_sqlite3_column_bytes@8
sqlite3_column_count;code;winsqlite3.dll;_sqlite3_column_count@4
sqlite3_column_database_name16;code;winsqlite3.dll;_sqlite3_column_database_name16@8
sqlite3_column_database_name;code;winsqlite3.dll;_sqlite3_column_database_name@8
sqlite3_column_decltype16;code;winsqlite3.dll;_sqlite3_column_decltype16@8
sqlite3_column_decltype;code;winsqlite3.dll;_sqlite3_column_decltype@8
sqlite3_column_double;code;winsqlite3.dll;_sqlite3_column_double@8
sqlite3_column_int64;code;winsqlite3.dll;_sqlite3_column_int64@8
sqlite3_column_int;code;winsqlite3.dll;_sqlite3_column_int@8
sqlite3_column_name16;code;winsqlite3.dll;_sqlite3_column_name16@8
sqlite3_column_name;code;winsqlite3.dll;_sqlite3_column_name@8
sqlite3_column_origin_name16;code;winsqlite3.dll;_sqlite3_column_origin_name16@8
sqlite3_column_origin_name;code;winsqlite3.dll;_sqlite3_column_origin_name@8
sqlite3_column_table_name16;code;winsqlite3.dll;_sqlite3_column_table_name16@8
sqlite3_column_table_name;code;winsqlite3.dll;_sqlite3_column_table_name@8
sqlite3_column_text16;code;winsqlite3.dll;_sqlite3_column_text16@8
sqlite3_column_text;code;winsqlite3.dll;_sqlite3_column_text@8
sqlite3_column_type;code;winsqlite3.dll;_sqlite3_column_type@8
